flow,ref_date,original_thousands,seasonally_adjusted_thousands,trend_cycle_thousands,passengers
emisivo,2016-01,331.999,309.64529999999996,305.65033680374796,331999
emisivo,2016-02,359.094,305.09290000000004,305.773710270715,359094
emisivo,2016-03,340.477,313.4207,306.190692923871,340477
emisivo,2016-04,292.571,312.744,307.630301184536,292571
emisivo,2016-05,302.148,311.0698,310.50655034008696,302148
emisivo,2016-06,306.198,322.77209999999997,314.87459316065804,306198
emisivo,2016-07,328.559,319.1851,320.36377231991,328559
emisivo,2016-08,325.334,323.5956,326.395427635318,325334
emisivo,2016-09,312.399,323.9519,332.62681064277604,312399
emisivo,2016-10,356.831,339.8548,338.79500881755104,356831
emisivo,2016-11,296.243,324.1176,344.789832327421,296243
emisivo,2016-12,283.802,330.2052,350.416551783385,283802
emisivo,2017-01,392.568,370.4703,355.550286249211,392568
emisivo,2017-02,423.935,370.6327,360.372428019864,423935
emisivo,2017-03,409.986,381.044,365.029385017506,409986
emisivo,2017-04,359.155,379.0752,369.53059153860596,359155
emisivo,2017-05,370.821,381.2005,373.89865689078005,370821
emisivo,2017-06,344.978,362.8732,378.16327221043,344978
emisivo,2017-07,395.891,384.8646,382.38913278379295,395891
emisivo,2017-08,380.495,378.9397,386.726069985616,380495
emisivo,2017-09,368.123,380.3703,391.258600233771,368123
emisivo,2017-10,402.034,382.8115,396.092225346772,402034
emisivo,2017-11,344.905,373.77070000000003,401.194853775358,344905
emisivo,2017-12,323.178,370.01640000000003,406.090952531423,323178
emisivo,2018-01,472.987,451.4552,409.869853205777,472987
emisivo,2018-02,484.415,430.9396,411.110254702285,484415
emisivo,2018-03,455.997,425.15040000000005,408.696573749386,455997
emisivo,2018-04,414.923,435.0788,402.301117158636,414923
emisivo,2018-05,391.23,402.8999,392.34657868576704,391230
emisivo,2018-06,335.868,355.1133,380.075130852695,335868
emisivo,2018-07,377.691,365.29409999999996,367.350486014163,377691
emisivo,2018-08,335.341,334.0219,355.995505865103,335341
emisivo,2018-09,328.416,341.3647,347.24231188691,328416
emisivo,2018-10,332.454,311.2711,341.484639825871,332454
emisivo,2018-11,276.598,305.9594,338.32075333717097,276598
emisivo,2018-12,279.369,326.7404,336.982143086365,279369
emisivo,2019-01,376.756,355.5402,336.61847286942896,376756
emisivo,2019-02,408.302,353.63840000000005,336.715281135567,408302
emisivo,2019-03,387.366,355.9043,337.087755803187,387366
emisivo,2019-04,316.879,337.5129,337.58829811926796,316879
emisivo,2019-05,327.427,339.71340000000004,338.044458856694,327427
emisivo,2019-06,324.612,345.092,338.12633205719897,324612
emisivo,2019-07,311.849,298.715,337.110171151153,311849
emisivo,2019-08,347.702,346.4958,334.27215496387197,347702
emisivo,2019-09,319.782,332.8322,329.29023289369,319782
emisivo,2019-10,318.442,296.5861,322.232147835545,318442
emisivo,2019-11,268.049,297.9612,313.596736016317,268049
emisivo,2019-12,243.142,290.3165,304.330988566884,243142
emisivo,2020-01,305.039,284.0471,295.595273535468,305039
emisivo,2020-02,350.044,294.35,288.512511301318,350044
emisivo,2020-03,137.686,137.686,137.686,137686
emisivo,2020-04,0.0,0.0,0.0,0
emisivo,2020-05,0.0,0.0,0.0,0
emisivo,2020-06,0.0,0.0,0.0,0
emisivo,2020-07,3.568,3.568,3.568,3568
emisivo,2020-08,3.617,3.617,3.617,3617
emisivo,2020-09,8.952,8.952,8.952,8952
emisivo,2020-10,15.115,15.115,15.115,15115
emisivo,2020-11,28.626,28.626,28.626,28626
emisivo,2020-12,52.868,52.868,52.868,52868
emisivo,2021-01,59.304,59.304,59.304,59304
emisivo,2021-02,57.767,57.767,57.767,57767
emisivo,2021-03,52.848,52.848,52.848,52848
emisivo,2021-04,28.323,28.323,28.323,28323
emisivo,2021-05,30.032,30.032,30.032,30032
emisivo,2021-06,37.215,37.215,37.215,37215
emisivo,2021-07,25.201,25.201,25.201,25201
emisivo,2021-08,40.898,40.898,40.898,40898
emisivo,2021-09,48.33,48.33,48.33,48330
emisivo,2021-10,69.494,69.494,69.494,69494
emisivo,2021-11,94.605,116.19019999999999,75.70106044549101,94605
emisivo,2021-12,94.396,151.7686,91.52350473499101,94396
emisivo,2022-01,135.763,93.89269999999999,110.360380084235,135763
emisivo,2022-02,162.437,99.78139999999999,131.414019881163,162437
emisivo,2022-03,172.162,138.17079999999999,153.518521303906,172162
emisivo,2022-04,167.082,199.69670000000002,175.249620735431,167082
emisivo,2022-05,190.21,211.35989999999998,195.118677018923,190210
emisivo,2022-06,197.357,215.4024,211.749012257847,197357
emisivo,2022-07,213.745,214.7305,224.111521051841,213745
emisivo,2022-08,233.627,229.0103,231.765958460446,233627
emisivo,2022-09,230.955,242.2148,235.44084738298298,230955
emisivo,2022-10,253.579,238.5334,236.121051178852,253579
emisivo,2022-11,206.521,218.4652,235.182847081407,206521
emisivo,2022-12,170.028,232.208,233.97935831261,170028
emisivo,2023-01,282.92,240.8505,233.452391646396,282920
emisivo,2023-02,289.44,225.95929999999998,233.937506347766,289440
emisivo,2023-03,253.04,229.5795,235.37990960821898,253040
emisivo,2023-04,222.84,249.7722,237.599702400438,222840
emisivo,2023-05,245.716,266.62859999999995,240.719842750368,245716
emisivo,2023-06,233.405,263.1196,244.94303940154,233405
emisivo,2023-07,246.5,243.96089999999998,250.114560041913,246500
emisivo,2023-08,249.698,245.8052,255.19156986212099,249698
emisivo,2023-09,250.682,255.0457,258.969068052633,250682
emisivo,2023-10,271.916,256.3495,260.598016426772,271916
emisivo,2023-11,235.569,248.77939999999998,260.135813907945,235569
emisivo,2023-12,173.757,229.6326,258.215405701649,173757
emisivo,2024-01,307.397,259.5716,256.69512356125,307397
emisivo,2024-02,325.048,263.5509,257.516966570484,325048
emisivo,2024-03,272.745,263.76059999999995,261.882470757891,272745
emisivo,2024-04,260.2,280.64590000000004,269.50388736994904,260200
emisivo,2024-05,253.431,285.1622,278.69496255071397,253431
emisivo,2024-06,278.25,293.98109999999997,287.950005016283,278250
emisivo,2024-07,320.04,315.564,296.708985242452,320040
emisivo,2024-08,286.162,290.7952,305.54883541224905,286162
emisivo,2024-09,301.513,299.7332,315.34473092863595,301513
emisivo,2024-10,322.706,303.8684,326.876517727872,322706
emisivo,2024-11,288.817,306.1622,340.37213975676497,288817
emisivo,2024-12,235.844,289.3578,355.092199638856,235844
emisivo,2025-01,466.581,425.93609999999995,369.20338700918103,466581
emisivo,2025-02,504.177,438.2598,380.454918975263,504177
emisivo,2025-03,467.814,444.7099,387.925533461837,467814
emisivo,2025-04,366.5,395.5067,391.85574162009397,366500
emisivo,2025-05,384.113,423.5651,393.356006937858,384113
emisivo,2025-06,367.099,388.1789,393.829190533809,367099
emisivo,2025-07,393.632,391.966,394.607113201685,393632
emisivo,2025-08,430.894,428.28090000000003,396.986693759385,430894
emisivo,2025-09,386.131,385.5711,401.75241813372304,386131
emisivo,2025-10,392.62,378.0717,409.19716601799496,392620
emisivo,2025-11,358.787,367.3352,418.553974455727,358787
emisivo,2025-12,294.895,345.8617,428.678608633882,294895
emisivo,2026-01,591.101,552.8128,438.06613637864604,591101
emisivo,2026-02,603.943,536.5713000000001,445.624514259624,603943
emisivo,2026-03,527.71,514.372,450.559649989428,527710
emisivo,2026-04,394.356,421.69890000000004,453.044260355725,394356
emisivo,2026-05,382.898,417.94640000000004,454.285775031475,382898
receptivo,2016-01,241.177,194.7899,193.915201964831,241177
receptivo,2016-02,188.731,198.117,194.35943313081,188731
receptivo,2016-03,195.205,193.2933,195.07038859244298,195205
receptivo,2016-04,187.329,196.4654,195.918525427906,187329
receptivo,2016-05,172.96,198.49089999999998,196.789780978499,172960
receptivo,2016-06,164.31,195.8657,197.67520136733,164310
receptivo,2016-07,199.814,196.75910000000002,198.58619196288598,199814
receptivo,2016-08,200.67,205.636,199.513486535233,200670
receptivo,2016-09,184.944,200.039,200.439765987324,184944
receptivo,2016-10,196.668,203.13320000000002,201.371481344168,196668
receptivo,2016-11,221.756,203.9797,202.332498510509,221756
receptivo,2016-12,236.44,203.4348,203.347748512332,236440
receptivo,2017-01,248.081,200.52339999999998,204.446146985927,248081
receptivo,2017-02,186.846,203.3632,205.663417398212,186846
receptivo,2017-03,213.512,210.9534,207.06817976147,213512
receptivo,2017-04,199.464,208.30610000000001,208.698218709733,199464
receptivo,2017-05,182.229,208.9652,210.539745202094,182229
receptivo,2017-06,176.809,210.981,212.494123221683,176809
receptivo,2017-07,219.318,214.7741,214.40955092851502,219318
receptivo,2017-08,211.747,216.8175,216.118483194201,211747
receptivo,2017-09,201.482,216.5758,217.428768986056,201482
receptivo,2017-10,223.137,229.8439,218.18236177880098,223137
receptivo,2017-11,244.533,223.9921,218.346505661906,244533
receptivo,2017-12,259.88,221.9423,218.069028882869,259880
receptivo,2018-01,269.781,218.09560000000002,217.645592181232,269781
receptivo,2018-02,196.019,214.67170000000002,217.47208937931097,196019
receptivo,2018-03,216.21,213.0432,217.910123060143,216210
receptivo,2018-04,217.364,228.996,219.266116923245,217364
receptivo,2018-05,190.985,219.4155,221.752234520769,190985
receptivo,2018-06,175.448,209.77870000000001,225.333896949899,175448
receptivo,2018-07,234.389,230.6405,229.770038799522,234389
receptivo,2018-08,227.356,234.5134,234.68823748002802,227356
receptivo,2018-09,225.342,241.85070000000002,239.701658464569,225342
receptivo,2018-10,237.931,246.0373,244.468245685136,237931
receptivo,2018-11,274.557,251.7221,248.760269468558,274557
receptivo,2018-12,294.642,251.2594,252.433788512044,294642
receptivo,2019-01,339.245,273.33790000000005,255.431687025743,339245
receptivo,2019-02,232.833,255.7508,257.696420299866,232833
receptivo,2019-03,267.608,262.4093,259.126025630838,267608
receptivo,2019-04,243.428,257.0846,259.605680799625,243428
receptivo,2019-05,228.494,261.66089999999997,259.03646313839,228494
receptivo,2019-06,217.028,258.4009,257.49928051303,217028
receptivo,2019-07,261.672,257.5689,255.283415382512,261672
receptivo,2019-08,240.933,247.8104,252.800713945209,240933
receptivo,2019-09,233.229,250.61260000000001,250.529402730125,233229
receptivo,2019-10,231.912,239.1031,248.87142794329998,231912
receptivo,2019-11,264.442,241.2971,248.030564073123,264442
receptivo,2019-12,304.4,260.1875,248.001490741342,304400
receptivo,2020-01,314.013,252.22060000000002,248.61306734409098,314013
receptivo,2020-02,238.778,253.0359,249.554185445791,238778
receptivo,2020-03,110.163,110.163,110.163,110163
receptivo,2020-04,0.0,0.0,0.0,0
receptivo,2020-05,0.0,0.0,0.0,0
receptivo,2020-06,0.0,0.0,0.0,0
receptivo,2020-07,0.969,0.969,0.969,969
receptivo,2020-08,1.651,1.651,1.651,1651
receptivo,2020-09,2.615,2.615,2.615,2615
receptivo,2020-10,3.509,3.509,3.509,3509
receptivo,2020-11,7.367,7.367,7.367,7367
receptivo,2020-12,15.252,15.252,15.252,15252
receptivo,2021-01,21.089,21.089,21.089,21089
receptivo,2021-02,11.116,11.116,11.116,11116
receptivo,2021-03,13.17,13.17,13.17,13170
receptivo,2021-04,9.967,9.967,9.967,9967
receptivo,2021-05,6.754,6.754,6.754,6754
receptivo,2021-06,5.32,5.32,5.32,5320
receptivo,2021-07,3.693,3.693,3.693,3693
receptivo,2021-08,3.475,3.475,3.475,3475
receptivo,2021-09,3.607,3.607,3.607,3607
receptivo,2021-10,13.385,13.385,13.385,13385
receptivo,2021-11,47.567,27.1337,35.595436549995,47567
receptivo,2021-12,72.001,36.7332,45.9117061394921,72001
receptivo,2022-01,117.13,59.344,60.3920018757324,117130
receptivo,2022-02,85.72,107.0325,78.0863384848908,85720
receptivo,2022-03,119.686,109.8806,97.3197284429891,119686
receptivo,2022-04,131.79,144.2294,115.97733048280601,131790
receptivo,2022-05,120.318,149.51239999999999,132.113888574725,120318
receptivo,2022-06,113.93,149.8086,144.61336306533298,113930
receptivo,2022-07,149.266,145.1646,153.505753192165,149266
receptivo,2022-08,154.636,153.0829,159.861654489182,154636
receptivo,2022-09,138.776,156.64479999999998,165.208746453798,138776
receptivo,2022-10,165.59,180.4313,170.93281087830903,165590
receptivo,2022-11,199.927,177.6814,177.713318792178,199927
receptivo,2022-12,194.306,158.2625,185.371414990475,194306
receptivo,2023-01,266.824,204.357,193.235082641844,266824
receptivo,2023-02,195.55,214.2303,200.653714969251,195550
receptivo,2023-03,228.59,217.7304,207.42935717676002,228590
receptivo,2023-04,208.505,220.5839,213.790599836671,208505
receptivo,2023-05,181.573,214.491,220.310389946941,181573
receptivo,2023-06,186.591,225.5488,227.24057043515398,186591
receptivo,2023-07,236.934,234.0871,234.54547096058602,236934
receptivo,2023-08,238.452,235.3021,241.779920236789,238452
receptivo,2023-09,223.032,243.90429999999998,248.13442605783902,223032
receptivo,2023-10,232.255,249.5759,252.765842720356,232255
receptivo,2023-11,279.635,254.8991,255.09406120743398,279635
receptivo,2023-12,267.673,230.9042,254.960384633194,267673
receptivo,2024-01,336.396,269.09770000000003,252.62175246943502,336396
receptivo,2024-02,249.847,266.4653,248.719554205332,249847
receptivo,2024-03,257.032,251.5845,244.136038971101,257032
receptivo,2024-04,223.059,227.71689999999998,239.818663274022,223059
receptivo,2024-05,189.815,226.7106,236.326003743699,189815
receptivo,2024-06,179.188,220.9838,233.699027488316,179188
receptivo,2024-07,236.099,233.9108,231.566956762553,236099
receptivo,2024-08,239.377,235.43820000000002,229.43791898653498,239377
receptivo,2024-09,201.911,225.45870000000002,227.009814915666,201911
receptivo,2024-10,198.406,217.974,224.107022617171,198406
receptivo,2024-11,247.339,220.6776,220.845484090874,247339
receptivo,2024-12,268.526,230.9769,217.398047457605,268526
receptivo,2025-01,293.391,221.3389,214.130780446443,293391
receptivo,2025-02,186.846,201.9295,211.43109751959202,186846
receptivo,2025-03,232.369,218.4585,209.703796326694,232369
receptivo,2025-04,189.158,201.5085,209.08015468790802,189158
receptivo,2025-05,163.592,203.7085,209.51276588036998,163592
receptivo,2025-06,164.236,208.3789,211.068746542118,164236
receptivo,2025-07,208.257,206.361,213.606153786122,208257
receptivo,2025-08,219.315,214.27870000000001,216.768969833782,219315
receptivo,2025-09,188.444,213.754,220.26319273658802,188444
receptivo,2025-10,200.88700000000009,222.05010000000001,224.05274217487198,200887
receptivo,2025-11,259.754,232.2018,228.177725760399,259754
receptivo,2025-12,259.353,221.6336,232.696045330548,259353
receptivo,2026-01,332.653,257.3936,237.410143744606,332653
receptivo,2026-02,227.2,242.1405,241.99532399544398,227200
receptivo,2026-03,268.279,256.998,246.083457720072,268279
receptivo,2026-04,239.682,248.90820000000002,249.311965991337,239682
receptivo,2026-05,205.077,246.8913,251.55666748091102,205077
