ref_date,total,americas,europe,asia,africa,oceania,caribbean,unspecified
2024-01,92974,88402,3932,431,25,76,36,72
2024-02,79249,74329,4187,579,18,73,51,12
2024-03,88071,82750,4748,388,37,75,50,23
2024-04,65836,62135,3215,340,35,64,39,8
2024-05,72724,69075,3023,435,18,88,76,9
2024-06,74374,70939,2916,358,23,69,64,5
2024-07,106313,101406,4356,431,26,45,41,8
2024-08,76527,71300,4579,508,13,64,63,0
2024-09,76633,72800,3310,377,24,79,40,3
2024-10,81307,77019,3685,357,23,97,121,5
2024-11,87283,81555,5060,440,45,92,77,14
2024-12,160047,153624,5728,498,34,88,62,13
