COUNTRY,COUNTRY_NAME,MONTH,NUM_ENTRIES,NUM_GUEST_NIGHTS
JP,Japan,2025-01,3800206,15235390
JP,Japan,2025-02,3253536,13788140
JP,Japan,2025-03,3481014,14854500
JP,Japan,2025-04,3861111,17218330
JP,Japan,2025-05,3666288,15946130
JP,Japan,2025-06,3314015,14206900
JP,Japan,2025-07,3368799,14236220
JP,Japan,2025-08,3409810,14090860
JP,Japan,2025-09,3225434,12834640
JP,Japan,2025-10,3873711,16852030
JP,Japan,2025-11,3520846,14825030
JP,Japan,2025-12,3656160,15833960
JP,Japan,2026-01,3698050,12833880
JP,Japan,2026-02,3514914,14037770
JP,Japan,2026-03,3670828,14280740
JP,Japan,2026-04,3736838,15362170
