country,country_name,ref_date,total_arrivals,bednights,avg_stay_days,bednight_capacity,occupancy_rate_pct,registered_bed_capacity,operational_bed_capacity,resorts_in_operation,arrival_flights_total,arrival_flights_scheduled,arrival_flights_general,travel_receipts_musd,total_arrivals_yoy_pct,bednights_yoy_pct,operational_bed_capacity_yoy_pct,bednight_capacity_yoy_pct,registered_bed_capacity_yoy_pct,arrival_flights_total_yoy_pct,arrival_flights_scheduled_yoy_pct,arrival_flights_general_yoy_pct
MV,Maldives,1988-01,16410,174092.0,10.608897014015843,197811.0,0.8800926136564701,,6381.0,,,,,,,,,,,,,
MV,Maldives,1988-02,17318,166649.0,9.62287793047696,190269.0,0.8758599666787548,,6561.0,,,,,,,,,,,,,
MV,Maldives,1988-03,16871,165932.0,9.835338746962243,203391.0,0.8158276423243901,,6561.0,,,,,,,,,,,,,
MV,Maldives,1988-04,12562,124433.0,9.905508676962267,198030.0,0.6283542897540777,,6601.0,,,,,,,,,,,,,
MV,Maldives,1988-05,8841,84852.0,9.597556837461825,204631.0,0.41465858056697175,,6601.0,,,,,,,,,,,,,
MV,Maldives,1988-06,7907,67121.0,8.48880738586063,198030.0,0.33894359440488814,,6601.0,,,,,,,,,,,,,
MV,Maldives,1988-07,11519,101502.0,8.811702404722633,206894.0,0.4905990507216256,,6674.0,,,,,,,,,,,,,
MV,Maldives,1988-08,13527,127900.0,9.455163746580912,207080.0,0.617635696349237,,6680.0,,,,,,,,,,,,,
MV,Maldives,1988-09,12132,112546.0,9.276788658094295,202440.0,0.5559474412171508,,6748.0,,,,,,,,,,,,,
MV,Maldives,1988-10,12745,121917.0,9.565868968222832,213156.0,0.5719613803974554,,6876.0,,,,,,,,,,,,,
MV,Maldives,1988-11,10942,119397.0,10.911807713397916,208500.0,0.5726474820143885,,6950.0,,,,,,,,,,,,,
MV,Maldives,1988-12,14983,140315.0,9.364946939865181,225401.0,0.6225127661367962,,7271.0,,,,,,,,,,,,,
MV,Maldives,1989-01,16834,181426.0,10.777355352263276,226331.0,0.8015958927411623,,7301.0,,,,,,2.583790371724559,4.212715116145493,14.41780285221752,14.41780285221752,,,,
MV,Maldives,1989-02,17076,165576.0,9.696416022487702,207732.0,0.7970654497140547,,7419.0,,,,,,-1.3973899988451333,-0.6438682500345072,13.07727480566987,9.178058433060565,,,,
MV,Maldives,1989-03,17136,165532.0,9.659897292250234,229989.0,0.7197387701150925,,7419.0,,,,,,1.5707426945646308,-0.24106260395825307,13.07727480566987,13.07727480566987,,,,
MV,Maldives,1989-04,10314,103933.0,10.07688578630987,222570.0,0.4669676955564542,,7419.0,,,,,,-17.895239611526826,-16.474729372433362,12.392061808816845,12.392061808816845,,,,
MV,Maldives,1989-05,8013,73134.0,9.126918757019842,229989.0,0.3179891212188409,,7419.0,,,,,,-9.365456396335258,-13.809927874416628,12.392061808816845,12.392061808816845,,,,
MV,Maldives,1989-06,7087,56709.0,8.001834344574574,222570.0,0.25479175090982614,,7419.0,,,,,,-10.37055773365373,-15.512283785998415,12.392061808816845,12.392061808816845,,,,
MV,Maldives,1989-07,10982,89014.0,8.105445274084866,230113.0,0.3868273413496847,,7423.0,,,,,,-4.661863008941747,-12.303205848160626,11.222655079412647,11.222655079412647,,,,
MV,Maldives,1989-08,13748,120020.0,8.729997090485888,230454.0,0.5207980768396296,,7434.0,,,,,,1.633769498040949,-6.161063330727135,11.287425149700603,11.287425149700603,,,,
MV,Maldives,1989-09,11980,101964.0,8.51118530884808,222900.0,0.45744279946164196,,7430.0,,,,,,-1.2528849324101587,-9.402377694453822,10.106698280972148,10.106698280972148,,,,
MV,Maldives,1989-10,13546,116780.0,8.620995127712979,234050.0,0.4989532151249733,,7550.0,,,,,,6.284817575519819,-4.2135223143614065,9.802210587550908,9.802210587550908,,,,
MV,Maldives,1989-11,15018,135012.0,8.99001198561726,228180.0,0.591690770444386,,7606.0,,,,,,37.250959605191,13.078218045679545,9.438848920863308,9.438848920863308,,,,
MV,Maldives,1989-12,16754,152632.0,9.110182642950937,239320.0,0.6377736921276952,,7720.0,,,,,,11.820062737769476,8.778106403449382,6.175216613945822,6.175216613945822,,,,
MV,Maldives,1990-01,19985,190033.0,9.508781586189642,239443.99999999997,0.7936427724227795,,7724.0,,,,,,18.71807057146251,4.744082987002973,5.793726886727835,5.793726886727835,,,,
MV,Maldives,1990-02,19580,181089.0,9.248672114402451,216272.0,0.8373205962861582,,7724.0,,,,,,14.663855703911931,9.36911146542978,4.111066181426071,4.111066181426071,,,,
MV,Maldives,1990-03,20159,182114.0,9.03388064884171,242079.0,0.752291607285225,,7809.0,,,,,,17.64122315592904,10.017398448638337,5.256773150020222,5.256773150020222,,,,
MV,Maldives,1990-04,15567,137460.0,8.830217768356137,236220.00000000003,0.5819151638303277,,7874.0,,,,,,50.93077370564281,32.258281777683706,6.132902008356922,6.132902008356944,,,,
MV,Maldives,1990-05,10373,82154.0,7.919984575339824,236003.0,0.3481057444185032,,7613.0,,,,,,29.452140272057914,12.333524762764236,2.614907669497235,2.614907669497235,,,,
