freq,freq_label,iccs,iccs_label,unit,unit_label,geo,geo_label,time,time_label,value
A,Annual,ICCS0101,Intentional homicide,NR,Number,BE,Belgium,2023,2023,165.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,BE,Belgium,2024,2024,166.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,BG,Bulgaria,2023,2023,74.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,BG,Bulgaria,2024,2024,79.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,CZ,Czechia,2023,2023,68.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,CZ,Czechia,2024,2024,69.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,DK,Denmark,2023,2023,53.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,DK,Denmark,2024,2024,52.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,DE,Germany,2023,2023,661.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,DE,Germany,2024,2024,694.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,EE,Estonia,2023,2023,18.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,EE,Estonia,2024,2024,25.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,IE,Ireland,2023,2023,33.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,IE,Ireland,2024,2024,37.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,EL,Greece,2023,2023,76.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,EL,Greece,2024,2024,81.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,ES,Spain,2023,2023,333.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,ES,Spain,2024,2024,349.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,FR,France,2023,2023,887.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,FR,France,2024,2024,882.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,HR,Croatia,2023,2023,26.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,HR,Croatia,2024,2024,39.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,IT,Italy,2023,2023,338.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,IT,Italy,2024,2024,336.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,CY,Cyprus,2023,2023,10.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,CY,Cyprus,2024,2024,9.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,LV,Latvia,2023,2023,44.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,LV,Latvia,2024,2024,45.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,LT,Lithuania,2023,2023,69.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,LT,Lithuania,2024,2024,76.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,LU,Luxembourg,2023,2023,4.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,LU,Luxembourg,2024,2024,2.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,HU,Hungary,2023,2023,69.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,HU,Hungary,2024,2024,66.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,MT,Malta,2023,2023,2.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,MT,Malta,2024,2024,5.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,NL,Netherlands,2023,2023,125.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,NL,Netherlands,2024,2024,120.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,AT,Austria,2023,2023,75.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,AT,Austria,2024,2024,78.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,PL,Poland,2023,2023,294.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,PL,Poland,2024,2024,254.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,PT,Portugal,2023,2023,74.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,PT,Portugal,2024,2024,72.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,RO,Romania,2023,2023,139.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,RO,Romania,2024,2024,151.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,SI,Slovenia,2023,2023,13.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,SI,Slovenia,2024,2024,15.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,SK,Slovakia,2023,2023,62.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,SK,Slovakia,2024,2024,59.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,FI,Finland,2023,2023,64.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,FI,Finland,2024,2024,100.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,SE,Sweden,2023,2023,121.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,SE,Sweden,2024,2024,92.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,IS,Iceland,2023,2023,5.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,IS,Iceland,2024,2024,7.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,LI,Liechtenstein,2023,2023,0.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,LI,Liechtenstein,2024,2024,1.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,NO,Norway,2023,2023,40.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,NO,Norway,2024,2024,39.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,CH,Switzerland,2023,2023,53.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,CH,Switzerland,2024,2024,45.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,BA,Bosnia and Herzegovina,2023,2023,35.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,BA,Bosnia and Herzegovina,2024,2024,33.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,ME,Montenegro,2023,2023,5.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,ME,Montenegro,2024,2024,12.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,MK,North Macedonia,2023,2023,23.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,MK,North Macedonia,2024,2024,20.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,AL,Albania,2023,2023,35.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,AL,Albania,2024,2024,41.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,RS,Serbia,2023,2023,78.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,RS,Serbia,2024,2024,54.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,TR,Türkiye,2023,2023,2166.0
A,Annual,ICCS0101,Intentional homicide,NR,Number,TR,Türkiye,2024,2024,1942.0
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2023,2023,1.41
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2024,2024,1.4
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2023,2023,1.15
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2024,2024,1.23
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2023,2023,0.63
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2024,2024,0.63
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,DK,Denmark,2023,2023,0.89
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,DK,Denmark,2024,2024,0.87
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,DE,Germany,2023,2023,0.8
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,DE,Germany,2024,2024,0.83
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,EE,Estonia,2023,2023,1.32
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,EE,Estonia,2024,2024,1.82
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,IE,Ireland,2023,2023,0.63
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,IE,Ireland,2024,2024,0.69
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,EL,Greece,2023,2023,0.73
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,EL,Greece,2024,2024,0.78
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,ES,Spain,2023,2023,0.69
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,ES,Spain,2024,2024,0.72
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,FR,France,2023,2023,1.3
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,FR,France,2024,2024,1.28
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,HR,Croatia,2023,2023,0.68
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,HR,Croatia,2024,2024,1.01
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,IT,Italy,2023,2023,0.57
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,IT,Italy,2024,2024,0.57
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2023,2023,1.05
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2024,2024,0.93
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,LV,Latvia,2023,2023,2.32
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,LV,Latvia,2024,2024,2.4
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,LT,Lithuania,2023,2023,2.41
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,LT,Lithuania,2024,2024,2.63
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,LU,Luxembourg,2023,2023,0.61
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,LU,Luxembourg,2024,2024,0.3
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,HU,Hungary,2023,2023,0.72
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,HU,Hungary,2024,2024,0.69
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,MT,Malta,2023,2023,0.37
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,MT,Malta,2024,2024,0.89
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,NL,Netherlands,2023,2023,0.7
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,NL,Netherlands,2024,2024,0.67
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2023,2023,0.82
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2024,2024,0.85
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,PL,Poland,2023,2023,0.8
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,PL,Poland,2024,2024,0.69
A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,PT,Portugal,2023,2023,0.7
