freq,freq_label,unit,unit_label,schedule,schedule_label,tra_cov,tra_cov_label,tra_meas,tra_meas_label,geo,geo_label,time,time_label,value
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,EU27_2020,European Union - 27 countries (from 2020),2025-02,2025-02,64965062
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,EU27_2020,European Union - 27 countries (from 2020),2025-03,2025-03,76094408
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,EU27_2020,European Union - 27 countries (from 2020),2025-04,2025-04,90473737
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,EU27_2020,European Union - 27 countries (from 2020),2025-05,2025-05,98438150
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,EU27_2020,European Union - 27 countries (from 2020),2025-06,2025-06,104940137
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,EU27_2020,European Union - 27 countries (from 2020),2025-07,2025-07,114214192
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,EU27_2020,European Union - 27 countries (from 2020),2025-08,2025-08,117621939
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,EU27_2020,European Union - 27 countries (from 2020),2025-09,2025-09,106152965
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,EU27_2020,European Union - 27 countries (from 2020),2025-10,2025-10,101569769
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,EU27_2020,European Union - 27 countries (from 2020),2025-11,2025-11,75236949
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BE,Belgium,2025-02,2025-02,2288046
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BE,Belgium,2025-03,2025-03,2612673
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BE,Belgium,2025-04,2025-04,3010285
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BE,Belgium,2025-05,2025-05,3107181
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BE,Belgium,2025-06,2025-06,3161617
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BE,Belgium,2025-07,2025-07,3655850
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BE,Belgium,2025-08,2025-08,3688272
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BE,Belgium,2025-09,2025-09,3368914
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BE,Belgium,2025-10,2025-10,3334338
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BE,Belgium,2025-11,2025-11,2529513
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2025-02,2025-02,653430
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2025-03,2025-03,761062
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2025-04,2025-04,843516
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2025-05,2025-05,953105
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2025-06,2025-06,1243919
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2025-07,2025-07,1519651
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2025-08,2025-08,1600074
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2025-09,2025-09,1264268
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2025-10,2025-10,946536
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2025-11,2025-11,741565
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2025-12,2025-12,833051
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2026-01,2026-01,747251
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2026-02,2026-02,733014
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,BG,Bulgaria,2026-03,2026-03,782927
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2025-02,2025-02,1036617
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2025-03,2025-03,1235260
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2025-04,2025-04,1412280
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2025-05,2025-05,1564520
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2025-06,2025-06,1946546
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2025-07,2025-07,2190468
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2025-08,2025-08,2208878
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2025-09,2025-09,1990735
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2025-10,2025-10,1715331
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2025-11,2025-11,1365117
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2025-12,2025-12,1522704
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2026-01,2026-01,1118678
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2026-02,2026-02,1170498
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,CZ,Czechia,2026-03,2026-03,1342087
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,DK,Denmark,2025-02,2025-02,2248923
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,DK,Denmark,2025-03,2025-03,2533455
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,DK,Denmark,2025-04,2025-04,2961670
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,DK,Denmark,2025-05,2025-05,3234891
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,DK,Denmark,2025-06,2025-06,3510875
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,DK,Denmark,2025-07,2025-07,3800975
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,DK,Denmark,2025-08,2025-08,3618356
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,DK,Denmark,2025-09,2025-09,3483238
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,DK,Denmark,2025-10,2025-10,3422672
M,Monthly,PAS,Passenger,TOT,Total,TOTAL,Total transport,PAS_CRD,Passengers carried,DK,Denmark,2025-11,2025-11,2663308
