Airline ID,Departure,Destination,distance_km,distance_mi,country_pair,is_domestic
2B,AER,KZN,1506.8,936.3,RU|RU,1
2B,ASF,KZN,1040.4,646.5,RU|RU,1
2B,ASF,MRV,448.2,278.5,RU|RU,1
2B,CEK,KZN,770.5,478.8,RU|RU,1
2B,CEK,OVB,1338.6,831.8,RU|RU,1
2B,DME,KZN,715.7,444.7,RU|RU,1
2B,DME,NBC,892.4,554.5,RU|RU,1
2B,DME,TGK,915.3,568.7,RU|RU,1
2B,DME,UUA,951.4,591.2,RU|RU,1
2B,EGO,KGD,1171.9,728.2,RU|RU,1
2B,EGO,KZN,1008.3,626.5,RU|RU,1
2B,GYD,NBC,1685.4,1047.3,AZ|RU,0
2B,KGD,EGO,1171.9,728.2,RU|RU,1
2B,KZN,AER,1506.8,936.3,RU|RU,1
2B,KZN,ASF,1040.4,646.5,RU|RU,1
2B,KZN,CEK,770.5,478.8,RU|RU,1
2B,KZN,DME,715.7,444.7,RU|RU,1
2B,KZN,EGO,1008.3,626.5,RU|RU,1
2B,KZN,LED,1216.8,756.1,RU|RU,1
2B,KZN,SVX,723.5,449.6,RU|RU,1
2B,LED,KZN,1216.8,756.1,RU|RU,1
2B,LED,NBC,1372.9,853.1,RU|RU,1
2B,LED,UUA,1464.1,909.7,RU|RU,1
2B,MRV,ASF,448.2,278.5,RU|RU,1
2B,NBC,DME,892.4,554.5,RU|RU,1
2B,NBC,GYD,1685.4,1047.3,AZ|RU,0
2B,NBC,LED,1372.9,853.1,RU|RU,1
2B,NBC,SVX,554.7,344.7,RU|RU,1
2B,NJC,SVX,1012.6,629.2,RU|RU,1
2B,NJC,UUA,1557.2,967.6,RU|RU,1
2B,NUX,SVX,1324.6,823.1,RU|RU,1
2B,OVB,CEK,1338.6,831.8,RU|RU,1
2B,OVB,SVX,1370.3,851.5,RU|RU,1
2B,SVX,KZN,723.5,449.6,RU|RU,1
2B,SVX,NBC,554.7,344.7,RU|RU,1
2B,SVX,NJC,1012.6,629.2,RU|RU,1
2B,SVX,NUX,1324.6,823.1,RU|RU,1
2B,SVX,OVB,1370.3,851.5,RU|RU,1
2B,TGK,DME,915.3,568.7,RU|RU,1
