trip_id,show,season,episode,episode_code,episode_title,episode_destination,air_date,start_date,end_date,duration_days,traveler_name,destination_city,destination_country,destination_airport,destination_airport_name,destination_lat,destination_lng,origin_airport,origin_alternates,nonstop_airlines,nonstop_airline_count,distance_km,is_domestic,notes
1,No Reservations,1,1,NR S1.E1,France: Why the French Don't Suck,"Paris, France",2005-07-25,2005-07-25,2005-07-30,5,Anthony Bourdain,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,JFK,EWR,AA|AF|AY|AZ|BA|DL|EY|IB|QR|SE|US,11,5833.7,0,
2,No Reservations,1,2,NR S1.E2,Iceland: Hello Darkness My Old Friend,"Reykjavik, Iceland",2005-08-01,2005-08-01,2005-08-06,5,Anthony Bourdain,Reykjavik,Iceland,KEF,Keflavik International Airport,63.985000610352,-22.605600357056,JFK,EWR,DL|FI,2,4163.3,0,
3,No Reservations,1,7,NR S1.E7,Las Vegas,"Las Vegas, United States",2005-10-17,2005-10-17,2005-10-22,5,Anthony Bourdain,Las Vegas,United States,LAS,McCarran International Airport,36.08010101,-115.1520004,JFK,EWR,AA|B6|DL|EY|HA|QR|US|VX,8,3609.3,1,
4,No Reservations,2,2,NR S2.E2,South Florida,"Miami, United States",2006-04-03,2006-04-03,2006-04-08,5,Anthony Bourdain,Miami,United States,MIA,Miami International Airport,25.79319953918457,-80.29060363769531,JFK,LGA|EWR,AA|CX|DL|US,4,1757.1,1,
5,No Reservations,2,3,NR S2.E3,Peru,"Lima, Peru",2006-04-10,2006-04-10,2006-04-15,5,Anthony Bourdain,Lima,Peru,LIM,Jorge Chávez International Airport,-12.0219,-77.114305,JFK,EWR,AA|JJ|LA,3,5865.8,0,
6,No Reservations,2,4,NR S2.E4,Canada,"Montreal, Canada",2006-04-17,2006-04-17,2006-04-22,5,Anthony Bourdain,Montreal,Canada,YUL,Montreal / Pierre Elliott Trudeau International Airport,45.4706001282,-73.7407989502,JFK,LGA|EWR,AA|AY|AZ|DL|US|WS,6,537.2,0,synopsis names the Montreal Culinary Institute
7,No Reservations,2,5,NR S2.E5,Sweden,"Stockholm, Sweden",2006-04-24,2006-04-24,2006-04-29,5,Anthony Bourdain,Stockholm,Sweden,ARN,Stockholm-Arlanda Airport,59.651901245117,17.918600082397,JFK,EWR,DY,1,6292.0,0,
8,No Reservations,2,6,NR S2.E6,Puerto Rico,"San Juan, Puerto Rico",2006-05-01,2006-05-01,2006-05-06,5,Anthony Bourdain,San Juan,Puerto Rico,SJU,Luis Munoz Marin International Airport,18.4393997192,-66.0018005371,JFK,EWR,AA|AY|B6|DL|US,5,2577.9,0,
9,No Reservations,2,7,NR S2.E7,Japan,"Osaka, Japan",2006-05-08,2006-05-08,2006-05-13,5,Anthony Bourdain,Osaka,Japan,KIX,Kansai International Airport,34.42729949951172,135.24400329589844,JFK,,CI,1,11154.7,0,"synopsis begins the episode in Osaka, not Tokyo"
10,No Reservations,2,10,NR S2.E10,India: Kolkata/Bombay,"Kolkata, India",2006-06-05,2006-06-05,2006-06-10,5,Anthony Bourdain,Mumbai,India,BOM,Chhatrapati Shivaji International Airport,19.0886993408,72.8678970337,JFK,EWR,DL,1,12532.3,0,"two-city episode, Kolkata and Bombay; CCU (Kolkata) has no New York nonstop; resolved to BOM"
11,No Reservations,2,11,NR S2.E11,Korea,"Seoul, South Korea",2006-06-12,2006-06-12,2006-06-17,5,Anthony Bourdain,Seoul,South Korea,ICN,Incheon International Airport,37.46910095214844,126.45099639892578,JFK,,DL|KE|OZ|UA,4,11088.8,0,
12,No Reservations,2,13,NR S2.E13,Special: Decoding Ferran Adria,"Barcelona, Spain",2006-07-03,2006-07-03,2006-07-08,5,Anthony Bourdain,Barcelona,Spain,BCN,Barcelona International Airport,41.2971,2.07846,JFK,EWR,AA|AF|AY|BA|DL|IB|KL|QR|US,9,6150.2,0,"elBulli is in Roses, Catalonia -- Barcelona is its gateway airport"
13,No Reservations,3,1,NR S3.E1,Ireland,"Dublin, Ireland",2007-01-01,2007-01-01,2007-01-06,5,Anthony Bourdain,Dublin,Ireland,DUB,Dublin Airport,53.421299,-6.27007,JFK,EWR,AA|AF|AY|BA|DL|EI|KL|UA|US,9,5103.0,0,
