trip_id,show,season,episode,episode_code,episode_title,episode_destination,air_date,start_date,end_date,duration_days,traveler_name,destination_city,destination_country,destination_airport,destination_airport_name,destination_lat,destination_lng,origin_airport,origin_alternates,nonstop_airlines,nonstop_airline_count,distance_km,is_domestic,notes
1,Without Borders,1,1,CWB S1.E1,Conan in Cuba,"Havana, Cuba",2015-03-04,2015-03-04,2015-03-09,5,Conan O'Brien,Havana,Cuba,HAV,José Martí International Airport,22.989200592041016,-82.40910339355469,JFK,EWR,B6,1,2122.6,0,first American late-night show taped in Cuba since 1959
2,Without Borders,1,3,CWB S1.E3,Conan in Qatar,"Doha, Qatar",2016-01-25,2016-01-25,2016-01-30,5,Conan O'Brien,Doha,Qatar,DOH,Hamad International Airport,25.273056,51.608056,JFK,,AA|QR,2,10769.5,0,"Al Udeid Air Base, outside Doha, with Michelle Obama"
3,Without Borders,1,4,CWB S1.E4,Conan Does Korea,"Seoul, South Korea",2016-04-09,2016-04-09,2016-04-14,5,Conan O'Brien,Seoul,South Korea,ICN,Incheon International Airport,37.46910095214844,126.45099639892578,JFK,,DL|KE|OZ|UA,4,11088.8,0,"Seoul and the DMZ, briefly crossing into North Korea"
4,Without Borders,1,5,CWB S1.E5,Conan in Berlin,"Berlin, Germany",2016-12-07,2016-12-07,2016-12-12,5,Conan O'Brien,Berlin,Germany,TXL,Berlin-Tegel Airport,52.5597,13.2877,JFK,EWR,AA|AB,2,6367.7,0,"Tegel was Berlin's gateway in 2016; BER replaced it in 2020, and airports.json (OpenFlights) predates BER"
5,Without Borders,1,6,CWB S1.E6,Conan Without Borders: Made in Mexico,"Mexico City, Mexico",2017-03-01,2017-03-01,2017-03-06,5,Conan O'Brien,Mexico City,Mexico,MEX,Licenciado Benito Juarez International Airport,19.4363,-99.072098,JFK,EWR,4O|AM|AZ|B6|DL,5,3365.3,0,
6,Without Borders,1,7,CWB S1.E7,Conan Without Borders: Israel,"Tel Aviv, Israel",2017-09-19,2017-09-19,2017-09-24,5,Conan O'Brien,Tel Aviv,Israel,TLV,Ben Gurion International Airport,32.01139831542969,34.88669967651367,JFK,EWR,DL|LY,2,9117.1,0,"Israel and, across the wall, the West Bank"
7,Without Borders,1,8,CWB S1.E8,Conan Without Borders: Haiti,"Port-au-Prince, Haiti",2018-01-27,2018-01-27,2018-02-01,5,Conan O'Brien,Port-au-Prince,Haiti,PAP,Toussaint Louverture International Airport,18.57999992370605,-72.2925033569336,JFK,,AA|AF|B6|DL,4,2457.0,0,
8,Without Borders,1,9,CWB S1.E9,Conan in Italy,"Rome, Italy",2018-04-11,2018-04-11,2018-04-16,5,Conan O'Brien,Rome,Italy,FCO,Leonardo da Vinci–Fiumicino Airport,41.8002778,12.2388889,JFK,EWR,AA|AY|AZ|BA|DL|IB|US,7,6865.7,0,with producer Jordan Schlansky
9,Without Borders,1,10,CWB S1.E10,Conan in Japan,"Tokyo, Japan",2018-11-28,2018-11-28,2018-12-03,5,Conan O'Brien,Tokyo,Japan,NRT,Narita International Airport,35.7647018433,140.386001587,JFK,EWR,AA|DL|JL|NH|UA,5,10830.5,0,"Tokyo and Hokuei in Tottori, the town named for Conan Edogawa"
10,Without Borders,1,12,CWB S1.E12,Conan Without Borders: Greenland,"Nuuk, Greenland",2019-09-03,2019-09-03,2019-09-08,5,Conan O'Brien,Copenhagen,Denmark,CPH,Copenhagen Kastrup Airport,55.617900848389,12.656000137329,JFK,EWR,DY,1,6188.7,0,"Greenland is reached from Copenhagen -- Air Greenland's own long-haul route, and the reason the Danish capital is a candidate; GOH (Nuuk) has no nonstop from JFK/LGA/EWR; resolved to CPH; Nuuk, Greenland is served from CPH in Denmark"
11,Without Borders,1,13,CWB S1.E13,Conan Without Borders: Ghana,"Accra, Ghana",2019-11-07,2019-11-07,2019-11-12,5,Conan O'Brien,Accra,Ghana,ACC,Kotoka International Airport,5.605189800262451,-0.1667860001325607,JFK,,DL,1,8221.5,0,visiting during Ghana's Year of Return
12,Must Go,1,1,CMG S1.E1,Norway,"Oslo, Norway",2024-04-18,2024-04-18,2024-04-23,5,Conan O'Brien,Oslo,Norway,OSL,Oslo Lufthavn,60.121,11.0502,JFK,EWR,DY,1,5917.4,0,"the article names only the country, so the row is the capital"
13,Must Go,1,2,CMG S1.E2,Argentina,"Buenos Aires, Argentina",2024-04-18,2024-04-18,2024-04-23,5,Conan O'Brien,Buenos Aires,Argentina,EZE,Ministro Pistarini International Airport,-34.8222,-58.5358,JFK,EWR,4M|AA|AR,3,8534.8,0,"the article names only the country, so the row is the capital"
14,Must Go,1,4,CMG S1.E4,Ireland,"Dublin, Ireland",2024-04-18,2024-04-18,2024-04-23,5,Conan O'Brien,Dublin,Ireland,DUB,Dublin Airport,53.421299,-6.27007,JFK,EWR,AA|AF|AY|BA|DL|EI|KL|UA|US,9,5103.0,0,tracing his family's roots; Shannon checked as the western gateway
15,Must Go,2,1,CMG S2.E1,Spain,"Madrid, Spain",2025-05-08,2025-05-08,2025-05-13,5,Conan O'Brien,Madrid,Spain,MAD,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,JFK,EWR,AA|AF|AY|BA|DL|IB|KL|US|UX,9,5762.2,0,"the article names only the country, so the row is the capital"
16,Must Go,2,3,CMG S2.E3,Austria,"Vienna, Austria",2025-05-22,2025-05-22,2025-05-27,5,Conan O'Brien,Vienna,Austria,VIE,Vienna International Airport,48.110298156738,16.569700241089,JFK,EWR,OS|UA,2,6805.0,0,"the article names only the country, so the row is the capital"
17,Must Go,3,2,CMG S3.E2,The Netherlands,"Amsterdam, Netherlands",2026-08-28,2026-08-28,2026-09-02,5,Conan O'Brien,Amsterdam,Netherlands,AMS,Amsterdam Airport Schiphol,52.308601,4.76389,JFK,EWR,DL|KL,2,5847.5,0,"announced but not yet aired; the article names only the country, so the row is the capital -- Amsterdam, not the seat of government at The Hague"
