traveler_id,destination_key,visits,confidence,first_year,last_year,first_visit,last_visit
anthony-bourdain,Accra|Ghana,1,6.5452,2007,2007,2007-01-08,2007-01-08
anthony-bourdain,Addis Ababa|Ethiopia,1,6.5452,2015,2015,2015-10-25,2015-10-25
anthony-bourdain,Albuquerque|United States,1,6.5452,2013,2013,2013-09-29,2013-09-29
anthony-bourdain,Antananarivo|Madagascar,1,6.5452,2015,2015,2015-05-17,2015-05-17
anthony-bourdain,Asuncion|Paraguay,1,6.5452,2014,2014,2014-10-12,2014-10-12
anthony-bourdain,Athens|Greece,2,9.7889,2008,2016,2008-01-28,2016-05-08
anthony-bourdain,Austin|United States,1,6.5452,2012,2012,2012-09-03,2012-09-03
anthony-bourdain,Bangkok|Thailand,2,9.7889,2003,2009,2003-06-27,2009-03-16
anthony-bourdain,Barcelona|Spain,2,9.7889,2006,2011,2006-07-03,2011-08-01
anthony-bourdain,Berlin|Germany,2,9.7889,2008,2018,2008-01-14,2018-06-10
anthony-bourdain,Bilbao|Spain,2,9.7889,2002,2017,2002-07-05,2017-05-07
anthony-bourdain,Bogota|Colombia,2,9.7889,2008,2013,2008-07-14,2013-04-28
anthony-bourdain,Boston|United States,2,9.7889,2011,2014,2011-04-18,2014-11-09
anthony-bourdain,Bucharest|Romania,1,6.5452,2008,2008,2008-02-25,2008-02-25
anthony-bourdain,Budapest|Hungary,1,6.5452,2015,2015,2015-06-07,2015-06-07
anthony-bourdain,Buenos Aires|Argentina,2,9.7889,2007,2016,2007-09-10,2016-11-20
anthony-bourdain,Buffalo|United States,1,6.5452,2009,2009,2009-07-27,2009-07-27
anthony-bourdain,Cairo|Egypt,1,6.5452,2008,2008,2008-08-25,2008-08-25
anthony-bourdain,Casablanca|Morocco,2,9.7889,2002,2013,2002-03-05,2013-05-12
anthony-bourdain,Charleston|United States,2,9.7889,2007,2015,2007-09-17,2015-11-15
anthony-bourdain,Chiang Mai|Thailand,2,9.7889,2003,2014,2003-06-13,2014-06-01
anthony-bourdain,Chicago|United States,2,9.7889,2009,2016,2009-02-02,2016-05-01
anthony-bourdain,Christchurch|New Zealand,1,6.5452,2005,2005,2005-11-07,2005-11-07
anthony-bourdain,Cleveland|United States,1,6.5452,2007,2007,2007-08-27,2007-08-27
anthony-bourdain,Colombo|Sri Lanka,2,9.7889,2009,2017,2009-03-02,2017-10-29
