name,lat,lon,country_code,feature_code
Jumeirah Beach,25.221870,55.255910,AE,BCH
Shāţi’ as Sayyidāt,24.458480,54.302900,AE,BCH
Shāţi’ Hīltawniyā,24.466430,54.329230,AE,BCH
Mamzar Beach,25.303740,55.349030,AE,BCH
Devils Bridge,17.100000,-61.683330,AG,BCH
Cocoa Point Beach,17.550000,-61.766670,AG,BCH
Jolly Beach,17.069520,-61.889610,AG,BCH
Crocus Bay Beach,18.219860,-63.067170,AI,BCH
Plazhi i Golemit,41.262500,19.520830,AL,BCH
Plazhi i Velipojës,41.862780,19.420000,AL,BCH
Plazhi i Shëngjinit,41.810830,19.595280,AL,BCH
Porto Palermo Beach,40.062440,19.793510,AL,BCH
Praia do Xicasso,-14.580450,12.304540,AO,BCH
Praia das Tartarugas,-13.683330,12.533330,AO,BCH
Praia de São Nicolau,-14.250000,12.333330,AO,BCH
Praia da Madalena,-14.636120,12.293430,AO,BCH
Praia do Piambo,-14.683830,12.283330,AO,BCH
Praia do Nhime,-13.100000,12.883330,AO,BCH
Praia do Navio,-16.266670,11.816670,AO,BCH
Praia da Mariquita,-14.757000,12.287170,AO,BCH
Praia do Mandangal,-13.383330,12.600000,AO,BCH
Praia Luepa,-13.300000,12.650000,AO,BCH
Praia da Lucira,-13.866670,12.516670,AO,BCH
Praia da Lua,-13.133330,12.833330,AO,BCH
Praia do Leitão,-14.668440,12.296250,AO,BCH
Praia do Furado,-14.700070,12.274140,AO,BCH
Praia do Dungo,-13.866670,12.516670,AO,BCH
Praia das Conchas,-15.120280,12.119720,AO,BCH
Praia da Chituca,-13.016670,12.950000,AO,BCH
Lucira Pequena,-13.883330,12.516670,AO,BCH
Praia da Catumbela,-12.488330,13.484480,AO,BCH
Praia do Carunjamba,-13.933330,12.416670,AO,BCH
Praia Carahuita,-13.583330,12.550000,AO,BCH
Praia do Caniço,-14.506650,12.322090,AO,BCH
Praia da Campiona,-13.200000,12.766670,AO,BCH
Praia do Calungo,-14.600690,12.301470,AO,BCH
Praia do Bravo,-13.783330,12.533330,AO,BCH
Praia do Bonfim,-13.816670,12.533330,AO,BCH
Praia da Binga,-13.333330,12.650000,AO,BCH
Praia do Barqueiro,-14.748810,12.289680,AO,BCH
Praia do Capombo,-11.757130,13.797450,AO,BCH
Praia Cangalma,-11.826920,13.790720,AO,BCH
Praia Chamure,-11.887570,13.779130,AO,BCH
Praia dos Mucuissos,-15.044170,12.151670,AO,BCH
Praia Amélia,-15.201390,12.111390,AO,BCH
Praia Morena,-12.585280,13.390280,AO,BCH
Praia da Caota,-12.603610,13.265830,AO,BCH
Praia de São Tiago,-8.639950,13.411520,AO,BCH
Praia da Musserra,-7.886050,13.126220,AO,BCH
Praia da Candunga,-11.740840,13.794460,AO,BCH
Praia da Chitamba,-11.686420,13.790290,AO,BCH
Camugimo,-9.015680,13.025250,AO,BCH
Praia do Jundo,-14.866320,12.211540,AO,BCH
Praia do Cangulo,-14.559420,12.308550,AO,BCH
Praia do Banco,-14.769810,12.278590,AO,BCH
Praia da Cacimba,-14.791140,12.264030,AO,BCH
Praia Muto-Muto,-14.805220,12.260600,AO,BCH
Praia do Manguari,-14.809300,12.257820,AO,BCH
Praia Lance Pequeno,-14.824780,12.251320,AO,BCH
Praia Capatola,-14.829240,12.248790,AO,BCH
