NAME,DISCIPLINE,DISCIPLINE_LABEL,CITY,STATE,LAT,LNG
SIMON PANEAK MEMORIAL MUSEUM,GMU,General Museum,ANAKTUVUK PASS,AK,68.24085,-151.89265
ALASKA JEWISH MUSEUM,GMU,General Museum,ANCHORAGE,AK,61.18946,-149.86071
ALASKA MASONIC LIBRARY AND MUSEUM FOUNDATION,GMU,General Museum,ANCHORAGE,AK,61.21833,-149.89456
ALASKA SPORTS HALL OF FAME,GMU,General Museum,ANCHORAGE,AK,61.08741,-149.6926
ALASKA ZOO,ZAW,"Zoo, Aquarium, or Wildlife Conservation",ANCHORAGE,AK,61.12476,-149.79254
ALUTIIQ HERITAGE ENDOWMENT,HSC,Historical Society or Historic Preservation,ANCHORAGE,AK,61.18152,-149.88518
ANCHORAGE MUSEUM,GMU,General Museum,ANCHORAGE,AK,61.21608,-149.8853
IDITAROD NATIONAL HISTORIC TRAIL,HSC,Historical Society or Historic Preservation,ANCHORAGE,AK,61.19811,-149.92363
INTERNATIONAL GALLERY OF CONTEMPORARY ARTS,ART,Art Museum,ANCHORAGE,AK,61.21824,-149.88931
MCKINLEY HISTORICAL SOCIETY & MUSEUM,HSC,Historical Society or Historic Preservation,ANCHORAGE,AK,61.1804,-149.87975
THOMAS PLANETARIUM,SCI,Science & Technology Museum or Planetarium,ANCHORAGE,AK,61.21608,-149.8853
INUPIAT HERITAGE CENTER,GMU,General Museum,BARROW,AK,70.66976,-155.14303
CHUGIAK-EAGLE RIVER HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,CHUGIAK,AK,61.38967,-149.47465
COPPER VALLEY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,COPPER CENTER,AK,61.92025,-145.38294
CORDOVA HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,CORDOVA,AK,60.07439,-147.99241
WHITESTONE FARMS,HSC,Historical Society or Historic Preservation,DELTA JUNCTION,AK,64.10761,-145.7709
SAMUEL FOX MUSEUM,GMU,General Museum,DILLINGHAM,AK,59.04004,-158.45869
EAGLE HISTORICAL SOCIETY OF ALASKA,HSC,Historical Society or Historic Preservation,EAGLE,AK,64.78917,-141.20294
EAGLE RIVER NATURE CENTER,BOT,"Arboretum, Botanical Garden, or Nature Center",EAGLE RIVER,AK,61.23644,-149.27332
DOG MUSHING MUSEUM,GMU,General Museum,FAIRBANKS,AK,64.84166,-147.72054
FAIRBANKS CHILDREN'S MUSEUM,CMU,Children's Museum,FAIRBANKS,AK,64.84217,-147.72078
PIONEER MEMORIAL PARK,BOT,"Arboretum, Botanical Garden, or Nature Center",FAIRBANKS,AK,64.83685,-147.76725
TANANA YUKON HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,FAIRBANKS,AK,64.84339,-147.71869
CHILKAT VALLEY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,HAINES,AK,59.24675,-135.47365
HAMMER MUSEUM,HST,History Museum,HAINES,AK,59.24675,-135.47365
JILKAAT KWAAN HERITAGE CENTER,GMU,General Museum,HAINES,AK,59.24675,-135.47365
SHELDON MUSEUM AND CULTURAL CENTER,HST,History Museum,HAINES,AK,59.24675,-135.47365
CENTER FOR ALASKAN COASTAL STUDIES,BOT,"Arboretum, Botanical Garden, or Nature Center",HOMER,AK,59.64585,-151.52423
MUSEUMS ALASKA,GMU,General Museum,HOMER,AK,59.66896,-151.48517
PRATT MUSEUM,ART,Art Museum,HOMER,AK,59.6447,-151.5504
HOPE AND SUNRISE HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,HOPE,AK,60.88669,-149.54407
HOPE AND SUNRISE MUSEUM,GMU,General Museum,HOPE,AK,60.88669,-149.54407
CLAUDIA KELSEY DOLL MUSEUM,GMU,General Museum,JUNEAU,AK,58.3005,-134.40561
GASTINEAU CHANNEL HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,JUNEAU,AK,58.30836,-134.39819
GOLDBELT HERITAGE FOUNDATION,HSC,Historical Society or Historic Preservation,JUNEAU,AK,58.33036,-134.47205
JENSEN-OLSON ARBORETUM,BOT,"Arboretum, Botanical Garden, or Nature Center",JUNEAU,AK,58.48383,-134.77955
MARIE DRAKE PLANETARIUM,SCI,Science & Technology Museum or Planetarium,JUNEAU,AK,58.36674,-134.61082
KAKE TRIBAL HERITAGE FOUNDATION,HSC,Historical Society or Historic Preservation,KAKE,AK,56.97824,-133.94876
KASILOF REGIONAL HISTORICAL ASSOCIATION,HSC,Historical Society or Historic Preservation,KASILOF,AK,60.33002,-151.28922
KENAI HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,KENAI,AK,60.58442,-151.23509
OCEANSALASKA,ZAW,"Zoo, Aquarium, or Wildlife Conservation",KETCHIKAN,AK,55.35076,-131.67274
CHILKAT INDIAN VILLAGE,HSC,Historical Society or Historic Preservation,KLUKWAN,AK,59.24675,-135.47365
KODIAK MARITIME MUSEUM AND ART CENTER,ART,Art Museum,KODIAK,AK,57.79263,-152.40165
TOCHAK HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,MCGRATH,AK,62.91264,-154.94429
PIONEERS OF ALASKA,HSC,Historical Society or Historic Preservation,NOME,AK,64.49805,-165.41115
PALMER HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,PALMER,AK,61.59873,-149.11008
CLAUSEN MEMORIAL MUSEUM,HST,History Museum,PETERSBURG,AK,56.80634,-132.96963
ALASKA SEALIFE CENTER,ZAW,"Zoo, Aquarium, or Wildlife Conservation",SEWARD,AK,60.20885,-149.38716
RESURRECTION BAY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,SEWARD,AK,60.20885,-149.38716
SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,ZAW,"Zoo, Aquarium, or Wildlife Conservation",SEWARD,AK,60.20885,-149.38716
JEWELL GARDENS,BOT,"Arboretum, Botanical Garden, or Nature Center",SKAGWAY,AK,59.45637,-135.31356
