trip_id,show,season,episode,episode_code,episode_title,episode_destination,air_date,start_date,end_date,duration_days,traveler_name,destination_city,destination_country,destination_airport,destination_airport_name,destination_lat,destination_lng,origin_airport,origin_alternates,nonstop_airlines,nonstop_airline_count,distance_km,is_domestic,notes
1,Uncharted,1,1,GRU S1.E1,Peru's Sacred Valley,"Cusco, Peru",2019-07-21,2019-07-21,2019-07-26,5,Gordon Ramsay,Lima,Peru,LIM,Jorge Chávez International Airport,-12.0219,-77.114305,LAX,,AA|JJ|JL|KE|LA,5,6720.6,0,"the Sacred Valley of the Incas, above Cusco; CUZ (Cusco) has no nonstop from LAX/LAS; resolved to LIM"
2,Uncharted,1,2,GRU S1.E2,New Zealand's Rugged South,"Queenstown, New Zealand",2019-07-28,2019-07-28,2019-08-02,5,Gordon Ramsay,Auckland,New Zealand,AKL,Auckland International Airport,-37.0080986023,174.792007446,LAX,,AA|NZ|UA|US,4,10486.6,0,South Island and Stewart Island; ZQN (Queenstown) has no nonstop from LAX/LAS; resolved to AKL
3,Uncharted,1,4,GRU S1.E4,Hawaii's Hana Coast,"Kahului, United States",2019-08-11,2019-08-11,2019-08-16,5,Gordon Ramsay,Kahului,United States,OGG,Kahului Airport,20.8986,-156.429993,LAX,,AA|AF|AS|DL|HA|KL|UA|US,8,3995.4,1,the Hana coast of Maui
4,Uncharted,1,6,GRU S1.E6,Alaska's Panhandle,"Juneau, United States",2019-08-25,2019-08-25,2019-08-30,5,Gordon Ramsay,Anchorage,United States,ANC,Ted Stevens Anchorage International Airport,61.17440032958984,-149.99600219726562,LAX,LAS,AA|AS|CX,3,3770.8,1,"southeast Alaska; Anchorage is the state's long-haul gateway, 1,000km north; JNU (Juneau) has no nonstop from LAX/LAS; resolved to ANC"
5,Uncharted,2,1,GRU S2.E1,Untamed Tasmania,"Hobart, Australia",2020-06-07,2020-06-07,2020-06-12,5,Gordon Ramsay,Melbourne,Australia,MEL,Melbourne International Airport,-37.673302,144.843002,LAX,,AA|DL|QF|UA|VA,5,12757.9,0,Melbourne is the mainland gateway to Tasmania; HBA (Hobart) has no nonstop from LAX/LAS; resolved to MEL
6,Uncharted,2,3,GRU S2.E3,Louisiana's Bayou Cuisine,"New Orleans, United States",2020-06-21,2020-06-21,2020-06-26,5,Gordon Ramsay,New Orleans,United States,MSY,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,LAX,LAS,AA|AS|CI|DL|KL|NK|NZ|OZ|UA|VA|WN,11,2682.9,1,southern Louisiana and the Chandeleur Islands
7,Uncharted,3,1,GRU S3.E1,Texas Throwdown,"San Antonio, United States",2021-05-31,2021-05-31,2021-06-05,5,Gordon Ramsay,San Antonio,United States,SAT,San Antonio International Airport,29.533700942993164,-98.46980285644533,LAX,LAS,AA|DL|UA|WN,4,1944.6,1,south-central Texas
8,Uncharted,3,3,GRU S3.E3,The Maine Ingredient,"Portland, United States",2021-06-13,2021-06-13,2021-06-18,5,Gordon Ramsay,Portland,United States,PWM,Portland International Jetport Airport,43.64619827,-70.30930328,LAX,,FL,1,4243.1,1,the Maine shoreline
9,Uncharted,3,6,GRU S3.E6,The Great Smoky Mountains,"Knoxville, United States",2021-07-04,2021-07-04,2021-07-09,5,Gordon Ramsay,Knoxville,United States,TYS,McGhee Tyson Airport,35.81100082,-83.9940033,LAS,,G4,1,2792.9,1,Knoxville is the Tennessee-side gateway to the Smokies
10,Uncharted,3,8,GRU S3.E8,Holy Mole Mexico,"Oaxaca, Mexico",2021-07-18,2021-07-18,2021-07-23,5,Gordon Ramsay,Oaxaca,Mexico,OAX,Xoxocotlán International Airport,16.9999008179,-96.726600647,LAX,,Y4,1,2866.6,0,
11,Uncharted,3,10,GRU S3.E10,Finland's Midnight Sun,"Rovaniemi, Finland",2021-08-01,2021-08-01,2021-08-06,5,Gordon Ramsay,Helsinki,Finland,HEL,Helsinki Vantaa Airport,60.317199707031,24.963300704956,LAX,,AY,1,9013.4,0,"Lapland, in the far north; RVN (Rovaniemi) has no nonstop from LAX/LAS; resolved to HEL"
12,Uncharted,4,1,GRU S4.E1,Unlocking Florida's Keys,"Key West, United States",2024-05-27,2024-05-27,2024-06-01,5,Gordon Ramsay,Miami,United States,MIA,Miami International Airport,25.79319953918457,-80.29060363769531,LAX,LAS,AA|AS|DL|US,4,3762.6,1,Miami is the mainland gateway to the Keys; EYW (Key West) has no nonstop from LAX/LAS; resolved to MIA
13,Uncharted,4,2,GRU S4.E2,The Cliffs of Ireland,"Shannon, Ireland",2024-05-27,2024-05-27,2024-06-01,5,Gordon Ramsay,Dublin,Ireland,DUB,Dublin Airport,53.421299,-6.27007,LAX,,EI,1,8318.1,0,"the west coast cliffs, nearest to Shannon; SNN (Shannon) has no nonstop from LAX/LAS; resolved to DUB"
14,Uncharted,4,3,GRU S4.E3,Spain's Galician Coast,"Santiago de Compostela, Spain",2024-06-02,2024-06-02,2024-06-07,5,Gordon Ramsay,Madrid,Spain,MAD,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,LAX,,AA|AY|BA|IB,4,9387.0,0,SCQ (Santiago de Compostela) has no nonstop from LAX/LAS; resolved to MAD
15,Uncharted,4,4,GRU S4.E4,Big Island Ono,"Kailua-Kona, United States",2024-06-09,2024-06-09,2024-06-14,5,Gordon Ramsay,Kailua-Kona,United States,KOA,Ellison Onizuka Kona International At Keahole Airport,19.738783,-156.045603,LAX,,AA|AS|DL|KL|UA|US,6,4025.6,1,the island of Hawaii
