destination_key,destination_city,destination_country,detailed_region,matched,unesco_score,michelin_score,allocentric_score,weather_mean,weather_best_month,trips,travelers,beach_share,ski_share,holiday_share,median_duration_days,median_accommodation_cost,median_transportation_cost
Accra|Ghana,Accra,Ghana,Western Africa,True,2.89,0.0,0.5709,6.92,january,2,2,0.0,0.0,0.0,5.0,,
Addis Ababa|Ethiopia,Addis Ababa,Ethiopia,Eastern Africa,True,2.89,0.0,0.5821,7.49,november,1,1,0.0,0.0,0.0,5.0,,
Albuquerque|United States,Albuquerque,United States,Northern America,True,0.0,0.0,0.3122,7.86,august,1,1,0.0,0.0,0.0,5.0,,
Amsterdam|Netherlands,Amsterdam,Netherlands,Western Europe,True,7.47,8.19,0.2178,7.21,march,30,12,0.0,0.0,0.0,7.0,2225.0,925.0
Anchorage|United States,Anchorage,United States,Northern America,True,0.0,0.0,0.27,,,15,3,0.0,0.0,0.0,7.0,1100.0,300.0
Antananarivo|Madagascar,Antananarivo,Madagascar,Eastern Africa,True,2.89,0.0,0.6339,7.31,september,1,1,0.0,0.0,0.0,5.0,,
Aspen|United States,Aspen,United States,Northern America,False,,,,,,3,2,0.0,1.0,0.0,7.0,3600.0,470.0
Asuncion|Paraguay,Asuncion,Paraguay,South America,True,0.0,0.0,0.5447,7.23,july,1,1,0.0,0.0,0.0,5.0,,
Athens|Greece,Athens,Greece,Southern Europe,True,4.58,5.62,0.3849,7.76,june,7,5,0.7143,0.0,0.0,6.0,1750.0,875.0
Atlanta|United States,Atlanta,United States,Northern America,True,0.0,6.55,0.0703,7.26,september,35,8,0.0,0.0,0.0,3.0,950.0,300.0
Auckland|New Zealand,Auckland,New Zealand,Australia and New Zealand,True,0.0,6.09,0.3887,6.92,march,6,3,0.0,0.0,0.0,14.0,3150.0,1100.0
Austin|United States,Austin,United States,Northern America,True,0.0,6.12,0.2458,7.39,september,6,2,0.0,0.0,0.0,4.0,925.0,275.0
Bali|Indonesia,Bali,Indonesia,South-eastern Asia,True,2.89,0.0,0.6584,6.69,april,12,12,0.0,0.0,0.0,8.0,1200.0,800.0
Baltimore|United States,Baltimore,United States,Northern America,True,0.0,0.0,0.1167,6.98,august,9,1,0.0,0.0,0.0,4.0,950.0,300.0
Bangkok|Thailand,Bangkok,Thailand,South-eastern Asia,True,0.0,8.47,0.5795,7.03,january,10,9,0.2,0.0,0.0,7.0,400.0,250.0
Barcelona|Spain,Barcelona,Spain,Southern Europe,True,5.78,7.69,0.2642,7.56,june,23,17,0.5652,0.0,0.0,8.0,2050.0,850.0
Belfast|United Kingdom,Belfast,United Kingdom,Northern Europe,True,2.89,4.28,0.5226,,,1,1,0.0,0.0,0.0,10.0,1500.0,720.0
Belize City|Belize,Belize City,Belize,Central America,False,,,,,,8,2,0.0,0.0,0.0,7.0,1325.0,687.5
Berlin|Germany,Berlin,Germany,Western Europe,True,6.71,6.95,0.3517,7.1,april,6,5,0.0,0.0,0.0,5.5,1950.0,905.0
Bilbao|Spain,Bilbao,Spain,Southern Europe,True,5.78,6.02,0.5172,7.1,august,4,3,0.75,0.0,0.0,5.0,2850.0,920.0
Birmingham|United Kingdom,Birmingham,United Kingdom,Northern Europe,True,2.89,5.8,0.4154,7.12,april,1,1,0.0,0.0,0.0,11.0,1800.0,760.0
Bogota|Colombia,Bogota,Colombia,South America,True,0.0,0.0,0.4035,7.18,january,2,1,0.0,0.0,0.0,5.0,,
Boise|United States,Boise,United States,Northern America,True,0.0,0.0,0.4003,7.46,june,8,1,0.0,0.0,0.0,4.0,937.5,287.5
Boston|United States,Boston,United States,Northern America,True,0.0,5.21,0.1617,6.81,august,63,9,0.3016,0.0,0.4444,5.0,1050.0,300.0
Bozeman|United States,Bozeman,United States,Northern America,False,,,,,,10,1,0.0,0.0,0.0,3.0,1250.0,330.0
Brisbane|Australia,Brisbane,Australia,Australia and New Zealand,True,0.0,0.0,0.3688,7.41,september,3,1,1.0,0.0,0.0,14.0,3000.0,1075.0
Brussels|Belgium,Brussels,Belgium,Western Europe,True,10.0,9.25,0.2383,7.27,march,2,2,0.5,0.0,0.0,8.5,2325.0,952.5
Bucharest|Romania,Bucharest,Romania,Eastern Europe,True,0.0,0.0,0.5563,7.44,june,1,1,0.0,0.0,0.0,5.0,,
Budapest|Hungary,Budapest,Hungary,Eastern Europe,True,2.89,5.91,0.4819,7.36,june,1,1,0.0,0.0,0.0,5.0,,
Buenos Aires|Argentina,Buenos Aires,Argentina,South America,True,2.89,6.22,0.3361,7.53,january,22,4,0.0,0.0,0.0,8.0,1375.0,712.5
Buffalo|United States,Buffalo,United States,Northern America,True,0.0,1.74,0.2903,6.52,september,11,3,0.0,0.0,0.4545,5.0,925.0,235.0
Cairo|Egypt,Cairo,Egypt,Northern Africa,True,4.58,0.0,0.5203,7.74,may,1,1,0.0,0.0,0.0,5.0,,
Cancun|Mexico,Cancun,Mexico,Central America,True,0.0,2.83,0.3101,7.21,april,133,28,0.9699,0.0,0.0,7.0,1075.0,475.0
Cape Town|South Africa,Cape Town,South Africa,Southern Africa,True,4.58,0.0,0.5964,7.57,february,4,4,0.0,0.0,0.0,9.0,650.0,900.0
Casablanca|Morocco,Casablanca,Morocco,Northern Africa,True,0.0,0.0,0.4486,7.74,july,3,2,0.6667,0.0,0.0,5.0,,
Charleston|United States,Charleston,United States,Northern America,True,0.0,4.28,0.3281,7.31,november,12,3,0.5,0.0,0.4167,5.0,1450.0,317.5
Charlotte|United States,Charlotte,United States,Northern America,True,0.0,4.18,0.184,7.3,november,15,3,0.0,0.0,0.0,3.0,1025.0,290.0
Chiang Mai|Thailand,Chiang Mai,Thailand,South-eastern Asia,True,0.0,6.25,0.6781,7.31,january,2,1,0.0,0.0,0.0,5.0,,
Chicago|United States,Chicago,United States,Northern America,True,2.89,7.33,0.0499,7.02,august,79,16,0.0,0.0,0.3797,4.0,962.5,275.0
Christchurch|New Zealand,Christchurch,New Zealand,Australia and New Zealand,True,0.0,4.48,0.6342,,,1,1,0.0,0.0,0.0,5.0,,
