traveler_id,destination_key,visits,confidence,first_visit,last_visit,first_year,last_year
anthony-bourdain,Accra|Ghana,1,6.5452,2007-01-08,2007-01-08,2007,2007
anthony-bourdain,Addis Ababa|Ethiopia,1,6.5452,2015-10-25,2015-10-25,2015,2015
anthony-bourdain,Albuquerque|United States,1,6.5452,2013-09-29,2013-09-29,2013,2013
anthony-bourdain,Antananarivo|Madagascar,1,6.5452,2015-05-17,2015-05-17,2015,2015
anthony-bourdain,Asuncion|Paraguay,1,6.5452,2014-10-12,2014-10-12,2014,2014
anthony-bourdain,Athens|Greece,2,9.7889,2008-01-28,2016-05-08,2008,2016
anthony-bourdain,Austin|United States,1,6.5452,2012-09-03,2012-09-03,2012,2012
anthony-bourdain,Bangkok|Thailand,2,9.7889,2003-06-27,2009-03-16,2003,2009
anthony-bourdain,Barcelona|Spain,2,9.7889,2006-07-03,2011-08-01,2006,2011
anthony-bourdain,Berlin|Germany,2,9.7889,2008-01-14,2018-06-10,2008,2018
anthony-bourdain,Bilbao|Spain,2,9.7889,2002-07-05,2017-05-07,2002,2017
anthony-bourdain,Bogota|Colombia,2,9.7889,2008-07-14,2013-04-28,2008,2013
anthony-bourdain,Boston|United States,2,9.7889,2011-04-18,2014-11-09,2011,2014
anthony-bourdain,Bucharest|Romania,1,6.5452,2008-02-25,2008-02-25,2008,2008
anthony-bourdain,Budapest|Hungary,1,6.5452,2015-06-07,2015-06-07,2015,2015
anthony-bourdain,Buenos Aires|Argentina,2,9.7889,2007-09-10,2016-11-20,2007,2016
anthony-bourdain,Buffalo|United States,1,6.5452,2009-07-27,2009-07-27,2009,2009
anthony-bourdain,Cairo|Egypt,1,6.5452,2008-08-25,2008-08-25,2008,2008
anthony-bourdain,Casablanca|Morocco,2,9.7889,2002-03-05,2013-05-12,2002,2013
anthony-bourdain,Charleston|United States,2,9.7889,2007-09-17,2015-11-15,2007,2015
anthony-bourdain,Chiang Mai|Thailand,2,9.7889,2003-06-13,2014-06-01,2003,2014
anthony-bourdain,Chicago|United States,2,9.7889,2009-02-02,2016-05-01,2009,2016
anthony-bourdain,Christchurch|New Zealand,1,6.5452,2005-11-07,2005-11-07,2005,2005
anthony-bourdain,Cleveland|United States,1,6.5452,2007-08-27,2007-08-27,2007,2007
anthony-bourdain,Colombo|Sri Lanka,2,9.7889,2009-03-02,2017-10-29,2009,2017
anthony-bourdain,Copenhagen|Denmark,1,6.5452,2013-10-06,2013-10-06,2013,2013
anthony-bourdain,Da Lat|Vietnam,1,6.5452,2010-03-29,2010-03-29,2010,2010
anthony-bourdain,Dakar|Senegal,1,6.5452,2016-05-29,2016-05-29,2016,2016
anthony-bourdain,Dar es Salaam|Tanzania,1,6.5452,2014-10-26,2014-10-26,2014,2014
anthony-bourdain,Delhi|India,1,6.5452,2014-04-13,2014-04-13,2014,2014
anthony-bourdain,Denpasar|Indonesia,1,6.5452,2018-10-07,2018-10-07,2018,2018
anthony-bourdain,Detroit|United States,1,6.5452,2013-11-10,2013-11-10,2013,2013
anthony-bourdain,Dubai|United Arab Emirates,1,6.5452,2010-08-09,2010-08-09,2010,2010
anthony-bourdain,Dublin|Ireland,1,6.5452,2007-01-01,2007-01-01,2007,2007
anthony-bourdain,Duesseldorf|Germany,1,6.5452,2016-06-05,2016-06-05,2016,2016
anthony-bourdain,Edinburgh|United Kingdom,1,6.5452,2015-05-10,2015-05-10,2015,2015
anthony-bourdain,Erbil|Iraq,1,6.5452,2011-08-22,2011-08-22,2011,2011
anthony-bourdain,Geneva|Switzerland,1,6.5452,2017-10-08,2017-10-08,2017,2017
anthony-bourdain,Glasgow|United Kingdom,1,6.5452,2002-07-12,2002-07-12,2002,2002
anthony-bourdain,Guayaquil|Ecuador,1,6.5452,2010-03-01,2010-03-01,2010,2010
anthony-bourdain,Hanoi|Vietnam,5,15.3341,2002-01-15,2016-09-25,2002,2016
anthony-bourdain,Havana|Cuba,2,9.7889,2011-07-11,2015-09-27,2011,2015
anthony-bourdain,Helsinki|Finland,1,6.5452,2012-05-14,2012-05-14,2012,2012
anthony-bourdain,Ho Chi Minh City|Vietnam,2,9.7889,2002-03-19,2014-10-19,2002,2014
anthony-bourdain,Hong Kong|Hong Kong,2,9.7889,2007-09-03,2018-06-03,2007,2018
anthony-bourdain,Honolulu|United States,2,9.7889,2008-03-03,2015-06-14,2008,2015
anthony-bourdain,Houston|United States,1,6.5452,2016-10-30,2016-10-30,2016,2016
anthony-bourdain,Istanbul|Turkey,2,9.7889,2010-01-18,2015-11-08,2010,2015
anthony-bourdain,Jakarta|Indonesia,1,6.5452,2006-06-19,2006-06-19,2006,2006
anthony-bourdain,Jerusalem|Israel,1,6.5452,2013-09-15,2013-09-15,2013,2013
anthony-bourdain,Johannesburg|South Africa,1,6.5452,2013-10-20,2013-10-20,2013,2013
anthony-bourdain,Kansas City|United States,2,9.7889,2003-04-04,2012-04-16,2003,2012
anthony-bourdain,Kingston|Jamaica,2,9.7889,2008-02-18,2014-11-16,2008,2014
anthony-bourdain,Kingstown|Saint Vincent and the Grenadines,1,6.5452,2010-07-05,2010-07-05,2010,2010
anthony-bourdain,Kinshasa|Congo (Kinshasa),1,6.5452,2013-06-09,2013-06-09,2013,2013
anthony-bourdain,Kuala Lumpur|Malaysia,1,6.5452,2005-08-22,2005-08-22,2005,2005
anthony-bourdain,Kuching|Malaysia,1,6.5452,2015-11-01,2015-11-01,2015,2015
anthony-bourdain,Kyiv|Ukraine,1,6.5452,2011-08-15,2011-08-15,2011,2011
anthony-bourdain,Lagos|Nigeria,1,6.5452,2017-10-15,2017-10-15,2017,2017
anthony-bourdain,Las Vegas|United States,2,9.7889,2005-10-17,2014-04-20,2005,2014
anthony-bourdain,Lima|Peru,2,9.7889,2006-04-10,2013-06-02,2006,2013
anthony-bourdain,Lisbon|Portugal,2,9.7889,2002-07-08,2012-04-30,2002,2012
anthony-bourdain,Livingston|United States,2,9.7889,2009-08-24,2016-05-15,2009,2016
anthony-bourdain,London|United Kingdom,3,12.0904,2002-04-20,2016-10-23,2002,2016
anthony-bourdain,Los Angeles|United States,4,13.8755,2002-02-26,2017-04-30,2002,2017
anthony-bourdain,Luang Prabang|Laos,2,9.7889,2008-07-07,2017-05-14,2008,2017
anthony-bourdain,Madrid|Spain,4,13.8755,2008-08-18,2018-09-30,2008,2018
anthony-bourdain,Managua|Nicaragua,1,6.5452,2011-03-14,2011-03-14,2011,2011
anthony-bourdain,Manila|Philippines,2,9.7889,2009-02-16,2016-04-24,2009,2016
anthony-bourdain,Maputo|Mozambique,1,6.5452,2012-04-09,2012-04-09,2012,2012
anthony-bourdain,Melbourne|Australia,2,9.7889,2003-05-02,2009-07-20,2003,2009
anthony-bourdain,Memphis|United States,1,6.5452,2014-05-18,2014-05-18,2014,2014
anthony-bourdain,Mexico City|Mexico,2,9.7889,2009-01-05,2014-05-04,2009,2014
anthony-bourdain,Miami|United States,2,9.7889,2006-04-03,2015-05-03,2006,2015
anthony-bourdain,Minneapolis|United States,1,6.5452,2003-03-28,2003-03-28,2003,2003
anthony-bourdain,Monrovia|Liberia,1,6.5452,2010-07-19,2010-07-19,2010,2010
anthony-bourdain,Montevideo|Uruguay,2,9.7889,2008-07-28,2018-05-06,2008,2018
anthony-bourdain,Montreal|Canada,1,6.5452,2006-04-17,2006-04-17,2006,2006
anthony-bourdain,Moscow|Russia,2,9.7889,2007-01-29,2014-05-11,2007,2014
anthony-bourdain,Mumbai|India,1,6.5452,2006-06-05,2006-06-05,2006,2006
anthony-bourdain,Muscat|Oman,1,6.5452,2017-06-11,2017-06-11,2017,2017
