traveler_id,name,base_city,home_airport,trip_count,distinct_destinations,cold_start,pref_unesco,pref_michelin,pref_weather,pref_allocentric,pref_holiday,pref_beach,pref_ski,entropy_norm_global,region_entropy_norm_global,loyalist_carrier,first_class_share
anthony-bourdain,Anthony Bourdain,New York City,,201,131,False,0.2809,0.4277,0.7284,0.3759,0.005,0.2786,0.0,0.8867,0.8198,,1.0
eduardo-gomez,Eduardo Gomez,Houston,,91,25,False,0.1373,0.6097,0.7544,0.2019,0.011,0.4176,0.011,0.4555,0.4247,United Air Lines Inc.,0.0
chet-baker,Chet Baker,Atlanta,ATL,53,1,True,0.458,0.936,0.6919,0.05,0.0,0.3396,0.0,0.0,0.0,Delta Air Lines Inc.,0.0
rick-steves,Rick Steves,Seattle,SEA,47,8,False,0.6421,0.8696,0.6863,0.1709,0.0213,0.0,0.0,0.2861,0.2224,,1.0
chiron,Chiron,Jacksonville,JAX,40,6,False,0.0506,0.5746,0.6976,0.1384,0.0,0.425,0.0,0.3346,0.0,,0.0
charles-darwin,Charles Darwin,Miami,MIA,36,4,False,0.1868,0.5192,0.7482,0.2589,0.0,0.25,0.0,0.2593,0.2242,American Airlines Inc.,0.0
jack-brennan,Jack Brennan,Seattle,SEA,36,4,False,0.203,0.3843,0.6623,0.2686,0.0,0.25,0.0,0.2593,0.1819,Alaska Airlines Inc.,0.0
mrs-guttingen,Mrs. Guttingen,Denver,DEN,36,4,False,0.1445,0.2925,0.737,0.2966,0.0,0.75,0.0,0.2593,0.2242,Southwest Airlines Co.,0.0
mrs-walker,Mrs. Walker,Orlando,MCO,36,4,False,0.0723,0.0,0.6723,0.2533,0.0,0.5,0.0,0.2593,0.3364,Southwest Airlines Co.,0.0
nikola-tesla,Nikola Tesla,Dallas,DFW,36,4,False,0.24,0.543,0.7492,0.2452,0.0,0.5,0.0,0.2593,0.3364,American Airlines Inc.,0.0
danny-hogan,Danny Hogan,San Francisco,SFO,32,4,False,0.259,0.5528,0.7545,0.2674,0.0,0.75,0.0,0.2593,0.2242,Alaska Airlines Inc.,0.0
hermes,Hermes,New York City,LGA,32,6,False,0.0452,0.5589,0.7187,0.1367,0.0,0.3438,0.0,0.3344,0.1402,,0.0
mrs-bell,Mrs. Bell,San Diego,SAN,32,4,False,0.1445,0.1555,0.797,0.3889,0.0,0.75,0.0,0.2593,0.2242,Alaska Airlines Inc.,0.0
odysseus,Odysseus,Philadelphia,PHL,32,6,False,0.3532,0.6846,0.7273,0.164,0.0,0.4688,0.0,0.3344,0.3247,,0.0
sisyphus,Sisyphus,San Diego,SAN,32,6,False,0.1445,0.5301,0.7123,0.1739,0.0,0.0938,0.0938,0.3344,0.1402,,0.0
stephen-hawking,Stephen Hawking,Los Angeles,LAX,32,4,False,0.3012,0.6508,0.727,0.1686,0.0,0.25,0.0,0.2593,0.3364,American Airlines Inc.,0.0
achilles,Achilles,Charlotte,CLT,30,6,False,0.2498,0.734,0.7494,0.1413,0.0,0.1667,0.0,0.3351,0.402,,0.0
athena,Athena,Philadelphia,PHL,30,6,False,0.16,0.6147,0.7225,0.2014,0.1667,0.5,0.1667,0.3351,0.3272,,0.0
cronus,Cronus,Dallas,DFW,30,6,False,0.3435,0.6802,0.7584,0.1926,0.0,0.3333,0.0,0.3351,0.3272,,0.0
daedalus,Daedalus,San Jose,SJC,30,6,False,0.2208,0.4938,0.7474,0.2399,0.1667,0.3333,0.1667,0.3351,0.3272,,0.0
hades,Hades,Chicago,ORD,30,6,False,0.1118,0.533,0.7353,0.1785,0.0,0.1667,0.1667,0.3351,0.2807,,0.0
poseidon,Poseidon,Houston,IAH,30,6,False,0.308,0.5975,0.7358,0.1941,0.0,0.3333,0.0,0.3351,0.3272,,0.0
stan-getz,Stan Getz,New York City,JFK,30,25,False,0.48,0.6317,0.7178,0.3222,0.0,0.3,0.0,0.5691,0.4774,Delta Air Lines Inc.,0.0
zeus,Zeus,New York City,JFK,30,6,False,0.2718,0.7527,0.7718,0.1642,0.1667,0.3333,0.0,0.3351,0.402,,0.0
circe,Circe,Houston,IAH,28,6,False,0.2189,0.4378,0.7434,0.2297,0.0,0.1786,0.0,0.3341,0.321,,0.0
demeter,Demeter,Dallas,DFW,28,6,False,0.2369,0.3979,0.7325,0.2384,0.0,0.2857,0.0714,0.3341,0.3297,,0.0
hera,Hera,Columbus,CMH,28,6,False,0.1032,0.4981,0.7051,0.1708,0.0,0.25,0.0,0.3341,0.1518,,0.0
mrs-hirsch,Mrs. Hirsch,Los Angeles,LAX,28,4,False,0.458,0.934,,0.0737,0.0,0.0,0.0,0.2593,0.2242,Alaska Airlines Inc.,0.0
pandora,Pandora,Los Angeles,LAX,28,6,False,0.3416,0.4547,0.7353,0.2276,0.0,0.25,0.0,0.3341,0.3297,,0.0
aphrodite,Aphrodite,San Diego,SAN,27,6,False,0.2884,0.5335,0.7229,0.2293,0.0,0.3333,0.0,0.3339,0.3334,,0.0
apollo,Apollo,Los Angeles,LAX,27,6,False,0.2062,0.3427,0.7223,0.2317,0.0,0.0,0.0,0.3339,0.4074,,0.0
hercules,Hercules,Fort Worth,DFW,27,6,False,0.261,0.6173,0.6886,0.2327,0.0,0.1481,0.0,0.3339,0.3334,,0.0
orpheus,Orpheus,Columbus,CMH,27,6,False,0.0,0.5688,0.7024,0.1629,0.0,0.3704,0.1481,0.3339,0.155,,0.0
prometheus,Prometheus,Phoenix,PHX,27,6,False,0.2206,0.5153,0.7251,0.2434,0.0,0.3333,0.0,0.3339,0.3334,,0.0
nick-adams,Nick Adams,Chicago,ORD,25,1,True,,,,,0.4,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
artemis,Artemis,Chicago,MDW,24,6,False,0.1245,0.3283,0.7695,0.2063,0.125,0.3333,0.0,0.3351,0.2059,,0.0
