trip_id,show,season,episode,episode_code,episode_title,episode_destination,air_date,start_date,end_date,duration_days,traveler_name,destination_city,destination_country,destination_airport,destination_airport_name,destination_lat,destination_lng,origin_airport,origin_alternates,nonstop_airlines,nonstop_airline_count,distance_km,is_domestic,notes
1,Rick Steves' Europe,1,2,RSE S1.E2,Paris: Grand and Intimate,"Paris, France",2000-09-10,2000-09-10,2000-09-15,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,
2,Rick Steves' Europe,1,3,RSE S1.E3,South England: Dovers to Land's End,"South England, United Kingdom",2000-09-17,2000-09-17,2000-09-22,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,no international airport serves this coastal region directly; London is the real-world gateway; LGW (South England) has no nonstop from SEA; resolved to LHR
3,Rick Steves' Europe,1,4,RSE S1.E4,Heart of England and South Wales,"Heart of England and South Wales, United Kingdom",2000-09-24,2000-09-24,2000-09-29,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,BHX (Heart of England and South Wales) has no nonstop from SEA; resolved to LHR
4,Rick Steves' Europe,1,6,RSE S1.E6,Germany's Black Forest and Cologne,"Black Forest and Cologne, Germany",2000-10-08,2000-10-08,2000-10-13,5,Rick Steves,Frankfurt,Germany,FRA,Frankfurt am Main Airport,50.033333,8.570556,SEA,,DE|LH|UA,3,8197.4,0,CGN (Black Forest and Cologne) has no nonstop from SEA; resolved to FRA
5,Rick Steves' Europe,1,7,RSE S1.E7,Scotland's Islands and Highlands,"Scottish Highlands and Islands, United Kingdom",2000-10-15,2000-10-15,2000-10-20,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,INV (Scottish Highlands and Islands) has no nonstop from SEA; resolved to LHR
6,Rick Steves' Europe,1,11,RSE S1.E11,London: Royal and Rambunctious,"London, United Kingdom",2000-11-12,2000-11-12,2000-11-17,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,
7,Rick Steves' Europe,2,22,RSE S2.E22,Amsterdam and Dutch Sidetrips,"Amsterdam, Netherlands",2002-10-12,2002-10-12,2002-10-17,5,Rick Steves,Amsterdam,Netherlands,AMS,Amsterdam Airport Schiphol,52.308601,4.76389,SEA,,DL|KL,2,7840.0,0,
8,Rick Steves' Europe,2,24,RSE S2.E24,Dublin and Mystical Sidetrips,"Dublin, Ireland",2002-10-26,2002-10-26,2002-10-31,5,Rick Steves,Dublin,Ireland,DUB,Dublin Airport,53.421299,-6.27007,SEA,,EI,1,7283.4,0,
9,Rick Steves' Europe,2,25,RSE S2.E25,South Ireland: Waterford to the Ring of Kerry,"South Ireland, Ireland",2002-11-02,2002-11-02,2002-11-07,5,Rick Steves,Dublin,Ireland,DUB,Dublin Airport,53.421299,-6.27007,SEA,,EI,1,7283.4,0,ORK (South Ireland) has no nonstop from SEA; resolved to DUB
10,Rick Steves' Europe,2,26,RSE S2.E26,"The Best of West Ireland: Dingle, Galway, and the Aran Islands","West Ireland, Ireland",2002-11-09,2002-11-09,2002-11-14,5,Rick Steves,Dublin,Ireland,DUB,Dublin Airport,53.421299,-6.27007,SEA,,EI,1,7283.4,0,Shannon checked as the western gateway; SNN (West Ireland) has no nonstop from SEA; resolved to DUB
