trip_id,traveler_name,tour_leg,start_date,end_date,nights,shows,origin_airport,destination_airport,destination_city,venue_city,venue,transportation_type,carrier_name,distance_km,route_carriers
LM-2023-09-15,Luis Miguel,1,2023-09-15,2023-09-19,4,3,MEX,LAS,Las Vegas,,Dolby Live,Flight,Aeromexico,2427.5,"4O, AM, DL, VB, Y4"
LM-2023-09-20,Luis Miguel,2,2023-09-20,2023-09-20,0,1,LAS,SNA,Anaheim,,Honda Center,Flight,Delta Air Lines Inc.,364.5,"DJ, DL, F9, FL, WN"
LM-2023-09-21,Luis Miguel,3,2023-09-21,2023-09-22,1,1,SNA,SAN,San Diego,,Pechanga Arena,Bus,,122.3,
LM-2023-09-23,Luis Miguel,4,2023-09-23,2023-09-23,0,1,SAN,PHX,Phoenix,,Footprint Center,Flight,American Airlines Inc.,488.6,"AA, FL, US, WN"
LM-2023-09-24,Luis Miguel,5,2023-09-24,2023-09-26,2,1,PHX,LAX,Los Angeles,Inglewood,Kia Forum,Flight,Alaska Airlines Inc.,594.4,"AA, AS, DL, UA, US, WN"
LM-2023-09-27,Luis Miguel,6,2023-09-27,2023-09-29,2,1,LAX,ONT,Los Angeles,Ontario,Toyota Arena,Bus,,75.5,
LM-2023-09-30,Luis Miguel,7,2023-09-30,2023-10-03,3,1,ONT,PSP,Palm Springs,Thousand Palms,Acrisure Arena,Bus,,104.0,
LM-2023-10-04,Luis Miguel,8,2023-10-04,2023-10-05,1,2,PSP,ORD,Chicago,Rosemont,Allstate Arena,Flight,United Air Lines Inc.,2653.0,"AA, UA, US"
LM-2023-10-06,Luis Miguel,9,2023-10-06,2023-10-07,1,1,ORD,IND,Indianapolis,,Gainbridge Fieldhouse,Flight,American Airlines Inc.,285.6,"AA, UA, US"
LM-2023-10-08,Luis Miguel,10,2023-10-08,2023-10-10,2,1,IND,LGA,New York,,Madison Square Garden,Flight,Delta Air Lines Inc.,1059.9,"AA, DL"
LM-2023-10-11,Luis Miguel,11,2023-10-11,2023-10-17,6,2,LGA,MIA,Miami,,Kaseya Center,Flight,American Airlines Inc.,1768.4,"AA, DL, US"
LM-2023-10-18,Luis Miguel,12,2023-10-18,2023-10-19,1,1,MIA,BOS,Boston,,TD Garden,Flight,American Airlines Inc.,2028.3,"AA, US"
LM-2023-10-20,Luis Miguel,13,2023-10-20,2023-10-20,0,1,BOS,DCA,"Washington, D.C.",,Capital One Arena,Flight,JetBlue Airways,641.5,"AA, B6, DL, US"
