traveler_id,name,trip_count,trips_with_destination,n_destinations,top_destination,top_destination_share,entropy,entropy_is_informative,norm_global,norm_observed,norm_capacity
anthony-bourdain,Anthony Bourdain,201,201,130,NRT,0.0348,4.7411,True,0.8867,0.974,0.894
stan-getz,Stan Getz,30,30,25,CUN,0.2,3.0428,True,0.5691,0.9453,0.8946
conan-o-brien,Conan O'Brien,17,17,17,HAV,0.0588,2.8332,True,0.5299,1.0,1.0
gordon-ramsay,Gordon Ramsay,15,15,15,LIM,0.0667,2.7081,True,0.5065,1.0,1.0
miles-davis,Miles Davis,24,24,12,AMS,0.0833,2.4849,True,0.4647,1.0,0.7819
eduardo-gomez,Eduardo Gomez,91,91,26,IAH,0.3516,2.4354,True,0.4555,0.7475,0.5399
andy-warhol,Andy Warhol,15,15,12,CUN,0.1333,2.4308,True,0.4546,0.9782,0.8976
john-coltrane,John Coltrane,15,15,11,CUN,0.1333,2.3384,True,0.4373,0.9752,0.8635
joaquin-sorolla,Joaquín Sorolla,20,20,11,IAH,0.5,1.8444,True,0.3449,0.7692,0.6157
edward-hopper,Edward Hopper,10,10,7,HND,0.3,1.8344,True,0.3431,0.9427,0.7967
achilles,Achilles,30,30,6,LHR,0.1667,1.7918,True,0.3351,1.0,0.5268
artemis,Artemis,24,24,6,CUN,0.1667,1.7918,True,0.3351,1.0,0.5638
athena,Athena,30,30,6,LHR,0.1667,1.7918,True,0.3351,1.0,0.5268
atlas,Atlas,24,24,6,SJD,0.1667,1.7918,True,0.3351,1.0,0.5638
cronus,Cronus,30,30,6,LHR,0.1667,1.7918,True,0.3351,1.0,0.5268
daedalus,Daedalus,30,30,6,NRT,0.1667,1.7918,True,0.3351,1.0,0.5268
hades,Hades,30,30,6,CUN,0.1667,1.7918,True,0.3351,1.0,0.5268
king-midas,King Midas,24,24,6,CUN,0.1667,1.7918,True,0.3351,1.0,0.5638
medusa,Medusa,24,24,6,GDL,0.1667,1.7918,True,0.3351,1.0,0.5638
persephone,Persephone,24,24,6,CUN,0.1667,1.7918,True,0.3351,1.0,0.5638
perseus,Perseus,24,24,6,ATL,0.1667,1.7918,True,0.3351,1.0,0.5638
poseidon,Poseidon,30,30,6,MEX,0.1667,1.7918,True,0.3351,1.0,0.5268
