destination_city,destination_country,trips,layover_trips,match_status,match_method,simplemaps_id,matched_city,matched_city_ascii,matched_country,unesco_score,michelin_score,plog_score
Cancun,Mexico,133,0,matched,exact,1484010310,Cancún,Cancun,Mexico,0.0,2.83,0.6899
Orlando,United States,124,0,matched,exact,1840015099,Orlando,Orlando,United States,0.0,6.53,0.8513
London,United Kingdom,105,0,matched,exact,1826645935,London,London,United Kingdom,6.71,9.54,0.8673
Denver,United States,101,0,matched,exact,1840018789,Denver,Denver,United States,0.0,5.91,0.8445
Chicago,United States,79,0,matched,exact,1840000494,Chicago,Chicago,United States,2.89,7.33,0.9501
Tokyo,Japan,75,0,matched,exact,1392685764,Tokyo,Tokyo,Japan,2.89,9.99,0.7993
San Jose del Cabo,Mexico,69,0,matched,exact,1484157742,San José del Cabo,San Jose del Cabo,Mexico,2.89,4.48,0.5778
New York,United States,66,0,matched,exact,1840034016,New York,New York,United States,4.58,9.36,0.95
Miami,United States,65,0,matched,exact,1840015149,Miami,Miami,United States,0.0,6.68,0.9
Boston,United States,63,0,matched,exact,1840000455,Boston,Boston,United States,0.0,5.21,0.8383
Guadalajara,Mexico,58,0,matched,exact,1484950208,Guadalajara,Guadalajara,Mexico,4.58,3.79,0.6149
Toronto,Canada,55,0,matched,exact,1124279679,Toronto,Toronto,Canada,0.0,7.17,0.8369
Houston,United States,53,0,matched,exact,1840020925,Houston,Houston,United States,0.0,6.02,0.8677
San Diego,United States,53,0,matched,exact,1840021990,San Diego,San Diego,United States,0.0,6.12,0.7991
Paris,France,48,1,matched,exact,1250015082,Paris,Paris,France,6.71,9.93,0.8396
Phoenix,United States,46,0,matched,exact,1840020568,Phoenix,Phoenix,United States,2.89,0.0,0.8296
Los Angeles,United States,42,0,matched,exact,1840020491,Los Angeles,Los Angeles,United States,2.89,8.2,0.9115
San Francisco,United States,40,0,matched,exact,1840021543,San Francisco,San Francisco,United States,0.0,8.13,0.8552
Sydney,Australia,40,0,matched,exact,1036074917,Sydney,Sydney,Australia,4.58,0.0,0.6762
New Orleans,United States,38,0,matched,exact,1840001839,New Orleans,New Orleans,United States,0.0,5.48,0.808
Seattle,United States,38,0,matched,exact,1840021117,Seattle,Seattle,United States,0.0,0.0,0.839
Atlanta,United States,37,2,matched,exact,1840013660,Atlanta,Atlanta,United States,0.0,6.55,0.9297
Portland,United States,36,0,matched,exact,1840019941,Portland,Portland,United States,0.0,0.0,0.7713
Puerto Vallarta,Mexico,36,0,matched,exact,1484408906,Puerto Vallarta,Puerto Vallarta,Mexico,2.89,1.74,0.5511
Minneapolis,United States,35,0,matched,exact,1840007830,Minneapolis,Minneapolis,United States,0.0,0.0,0.8175
Mexico City,Mexico,33,0,matched,exact,1484247881,Mexico City,Mexico City,Mexico,8.12,6.87,0.7046
Pittsburgh,United States,33,0,matched,exact,1840001254,Pittsburgh,Pittsburgh,United States,0.0,0.0,0.7364
Tampa,United States,33,0,matched,exact,1840015982,Tampa,Tampa,United States,0.0,5.67,0.8098
Washington,United States,32,0,matched,exact,1840006060,Washington,Washington,United States,0.0,7.41,0.8856
Las Vegas,United States,31,0,matched,exact,1840020364,Las Vegas,Las Vegas,United States,0.0,0.0,0.8469
Madrid,Spain,31,0,matched,exact,1724616994,Madrid,Madrid,Spain,6.71,8.22,0.7462
