ref_date,permanent_arrivals,long_term_residents_returning,long_term_visitors_arriving,permanent_and_long_term_arrivals,short_term_residents_returning,short_term_visitors_arriving,total_arrivals
1976-01,3780,5380,2750,11910,143370,47710,202990
1976-02,3900,4190,2730,10820,76370,49860,137040
1976-03,4790,4250,1940,10980,61900,46100,118980
1976-04,3790,3490,1620,8900,55940,37270,102120
1976-05,4680,4190,1890,10760,80590,37620,128970
1976-06,3720,3620,1790,9130,61000,30070,100200
1976-07,4600,4720,1640,10960,70650,35120,116730
1976-08,4750,5130,1890,11770,88280,44130,144180
1976-09,4470,4740,1890,11100,113460,36050,160610
1976-10,6070,5550,1790,13410,97460,46820,157690
1976-11,6080,5100,1590,12770,65600,53680,132050
1976-12,7660,9540,1780,18970,53600,67370,139950
1977-01,6200,5850,3540,15600,155430,48610,219630
1977-02,6580,4130,3640,14360,70740,48390,133490
1977-03,6560,4070,2340,12970,57210,50640,120820
1977-04,6370,3530,2110,12010,56630,41680,110320
1977-05,6280,3560,1990,11840,67820,36210,115870
1977-06,5260,3280,1920,10460,66830,31690,108990
1977-07,6030,4650,2080,12750,77800,40830,131380
1977-08,4870,4660,2140,11670,85770,42760,140200
1977-09,5670,4450,2180,12310,117080,37470,166860
1977-10,6900,4930,1900,13740,90930,45880,150540
1977-11,5950,5280,1830,13060,74420,65100,152570
1977-12,8970,9300,1790,20060,53010,74030,147100
1978-01,6280,5410,3760,15450,143190,49900,208540
1978-02,5670,4070,3340,13070,69770,51880,134730
1978-03,6080,4020,2820,12920,60700,54980,128600
1978-04,5400,3430,2200,11020,62860,41880,115760
1978-05,5970,3610,2030,11610,83010,41370,135990
1978-06,5390,3500,1970,10860,70490,34810,116160
1978-07,5840,4480,2290,12610,84770,44330,141710
1978-08,5420,4780,2310,12510,90530,49750,152780
1978-09,5560,4570,2110,12250,125890,45910,184050
1978-10,5510,4960,1970,12450,99390,52940,164770
1978-11,5020,5270,1700,11990,79600,71470,163060
1978-12,6270,9840,1890,18000,59260,91380,168650
1979-01,5050,6880,6540,18460,154970,54580,228010
1979-02,5340,4430,4600,14380,76430,60330,151130
1979-03,5860,4300,3290,13450,72160,65350,150950
1979-04,5300,3860,2470,11630,73230,55610,140470
1979-05,5620,3760,2510,11890,97270,54450,163610
1979-06,6390,3820,2380,12590,88190,53440,154220
1979-07,5410,4790,2260,12460,89460,70160,172080
1979-08,6220,4430,1960,12610,97960,66800,177370
1979-09,5940,4510,2160,12610,130540,57970,201120
1979-10,6540,5170,1930,13640,105540,66010,185200
1979-11,6790,5590,1740,14120,93020,80010,187150
1979-12,7780,9900,1600,19280,65560,108650,193490
1980-01,6410,5400,3910,15720,150540,65970,232240
1980-02,6420,4430,4390,15240,88120,82210,185560
1980-03,7360,4410,3370,15140,90930,86790,192860
1980-04,7480,3850,2090,13410,82530,61770,157710
1980-05,7360,3540,2170,13080,99730,60660,173470
1980-06,7040,3940,2000,12980,95170,69730,177880
1980-07,7420,4280,2230,13930,94190,77330,185450
1980-08,8080,4570,2380,15020,99790,69960,184760
1980-09,8020,3980,2130,14130,118290,60870,193290
1980-10,9200,4710,2030,15930,110680,71890,198500
1980-11,10080,6230,2150,18460,97900,84790,201150
1980-12,9630,9420,2180,21240,66900,112590,200730
1981-01,9990,5480,4720,20200,143400,69570,233160
1981-02,7930,4320,4980,17230,84180,78700,180110
1981-03,11850,4870,3680,20400,90100,84300,194800
1981-04,9060,3730,2410,15200,86790,67800,169790
1981-05,9680,4160,2620,16460,98220,63120,177800
1981-06,9740,4120,2710,16570,97230,72590,186400
1981-07,9510,4590,2230,16330,93370,81200,190900
1981-08,10240,4600,2550,17390,96100,74980,188480
1981-09,9720,4280,2250,16260,113610,62780,192640
1981-10,10700,4430,2270,17410,111660,80280,209340
1981-11,10860,5910,2040,18810,97410,88350,204570
1981-12,9430,8910,2090,20430,69310,113060,202800
1982-01,11420,5910,5140,22470,150620,79230,252320
1982-02,9160,4070,5910,19150,86700,79210,185060
1982-03,9610,4270,3230,17110,89360,84490,190960
1982-04,9790,3710,2420,15920,91850,82690,190450
1982-05,9320,3650,2350,15320,101580,61730,178630
1982-06,8250,3520,2280,14060,98530,63600,176190
1982-07,9250,4360,2540,16150,112100,83620,211870
1982-08,9290,4050,2470,15820,109240,75740,200800
1982-09,7660,3550,2420,13630,130890,66070,210590
1982-10,8480,4240,2180,14910,120280,78170,213350
1982-11,8170,4570,1740,14480,97420,88520,200420
