ref_date,fiscal_year,month,visitor_arrivals,change_number_yoy,change_percent_yoy
2021-06,2021/22,Jun,51590,,
2021-07,2021/22,Jul,30209,,
2021-08,2021/22,Aug,2676,,
2021-09,2021/22,Sep,2310,,
2021-10,2021/22,Oct,3687,,
2021-11,2021/22,Nov,5309,,
2021-12,2021/22,Dec,6161,,
2022-01,2021/22,Jan,4033,,
2022-02,2021/22,Feb,5235,,
2022-03,2021/22,Mar,28624,,
2022-04,2021/22,Apr,54303,,
2022-05,2021/22,May,72755,,
2022-06,2022/23,Jun,94648,,
2022-07,2022/23,Jul,134175,,
2022-08,2022/23,Aug,129753,,
2022-09,2022/23,Sep,151270,,
2022-10,2022/23,Oct,161636,,
2022-11,2022/23,Nov,232684,,
2022-12,2022/23,Dec,364716,,
2023-01,2022/23,Jan,266432,,
2023-02,2022/23,Feb,268704,,
2023-03,2022/23,Mar,266131,,
2023-04,2022/23,Apr,221271,,
2023-05,2022/23,May,160335,,
2023-06,2023/24,Jun,178426,,
2023-07,2023/24,Jul,213806,,
2023-08,2023/24,Aug,206783,,
2023-09,2023/24,Sep,224909,,
2023-10,2023/24,Oct,225979,,
2023-11,2023/24,Nov,303429,,
2023-12,2023/24,Dec,418869,,
2024-01,2023/24,Jan,326427,,
2024-02,2023/24,Feb,362836,,
2024-03,2023/24,Mar,340306,,
2024-04,2023/24,Apr,225024,,
2024-05,2023/24,May,179665,,
2024-06,2024/25,Jun,185294,,
2024-07,2024/25,Jul,221837,,
2024-08,2024/25,Aug,214271,,
2024-09,2024/25,Sep,226889,,
2024-10,2024/25,Oct,240195,,
2024-11,2024/25,Nov,321216,,
2024-12,2024/25,Dec,469842,,
2025-01,2024/25,Jan,370238,,
2025-02,2024/25,Feb,354408,,
2025-03,2024/25,Mar,311808,,
2025-04,2024/25,Apr,267271,,
2025-05,2024/25,May,190593,,
2025-06,2025/26,Jun,186753,1459.0,0.8
2025-07,2025/26,Jul,236550,14713.0,6.6
2025-08,2025/26,Aug,230292,16021.0,7.5
2025-09,2025/26,Sep,248571,21682.0,9.6
2025-10,2025/26,Oct,262731,22536.0,9.4
2025-11,2025/26,Nov,347577,26361.0,8.2
2025-12,2025/26,Dec,502640,32798.0,7.0
2026-01,2025/26,Jan,385426,15188.0,4.1
2026-02,2025/26,Feb,408142,53734.0,15.2
2026-03,2025/26,Mar,358911,47103.0,15.1
2026-04,2025/26,Apr,288546,21275.0,8.0
2026-05,2025/26,May,203308,12715.0,6.7
