COUNTRY,COUNTRY_NAME,PRICE_LEVEL_INDEX,USD_PURCHASING_POWER,SOURCE_YEAR
VN,Vietnam,28.01,3.5706,2025
ID,Indonesia,28.65,3.4903,2025
PY,Paraguay,34.82,2.8721,2025
MK,North Macedonia,37.43,2.672,2025
CO,Colombia,37.82,2.6444,2025
TR,Türkiye,41.07,2.4349,2025
ME,Montenegro,41.83,2.3907,2025
RO,Romania,44.28,2.2582,2025
RS,Serbia,45.01,2.2218,2025
AR,Argentina,45.72,2.1873,2025
BR,Brazil,45.72,2.1873,2025
BG,Bulgaria,45.73,2.1867,2025
CL,Chile,47.64,2.0992,2025
MV,Maldives,51.18,1.9538,2025
HU,Hungary,51.98,1.9237,2025
PL,Poland,52.37,1.9093,2025
HR,Croatia,53.2,1.8797,2025
MX,Mexico,53.69,1.8625,2025
LV,Latvia,57.03,1.7534,2025
SK,Slovakia,57.89,1.7275,2025
LT,Lithuania,57.99,1.7245,2025
CR,Costa Rica,59.06,1.6933,2025
CZ,Czechia,59.38,1.6841,2025
EL,Greece,59.54,1.6797,2025
PT,Portugal,60.37,1.6566,2025
SI,Slovenia,63.09,1.5851,2025
ES,Spain,64.52,1.5499,2025
CY,Cyprus,64.71,1.5455,2025
JP,Japan,64.87,1.5416,2025
UY,Uruguay,65.81,1.5195,2025
EE,Estonia,66.05,1.5139,2025
MT,Malta,66.34,1.5073,2025
IT,Italy,68.96,1.4501,2025
FR,France,76.57,1.306,2025
DE,Germany,80.23,1.2465,2025
BE,Belgium,81.35,1.2292,2025
AT,Austria,81.96,1.22,2025
CA,Canada,83.45,1.1984,2025
NL,Netherlands,84.38,1.1851,2025
IE,Ireland,84.85,1.1786,2025
FI,Finland,85.22,1.1734,2025
NZ,New Zealand,86.47,1.1565,2025
SE,Sweden,87.05,1.1488,2025
AU,Australia,90.54,1.1045,2025
NO,Norway,90.92,1.0999,2025
DK,Denmark,92.49,1.0812,2025
LU,Luxembourg,94.07,1.0631,2025
CH,Switzerland,111.96,0.8932,2025
IS,Iceland,117.85,0.8485,2025
