UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
02Q,Titan Airways,Titan Airways,10800,BUR,12758,KOA,721,1
02Q,Titan Airways,Titan Airways,10800,BUR,12758,KOA,721,2
02Q,Titan Airways,Titan Airways,13303,MIA,10800,BUR,721,1
02Q,Titan Airways,Titan Airways,13303,MIA,12264,IAD,721,3
02Q,Titan Airways,Titan Airways,13830,OGG,10559,BFI,721,5
02Q,Titan Airways,Titan Airways,14004,PAE,10299,ANC,721,4
02Q,Titan Airways,Titan Airways,15376,TUS,13830,OGG,721,5
0CQ,ACM AIR CHARTER GmbH,ACM AIR CHARTER GmbH,10519,BCT,14492,RDU,658,2
0CQ,ACM AIR CHARTER GmbH,ACM AIR CHARTER GmbH,10529,BDL,10721,BOS,658,4
0CQ,ACM AIR CHARTER GmbH,ACM AIR CHARTER GmbH,10540,BED,10529,BDL,658,3
0CQ,ACM AIR CHARTER GmbH,ACM AIR CHARTER GmbH,10540,BED,13476,MRY,658,4
0CQ,ACM AIR CHARTER GmbH,ACM AIR CHARTER GmbH,10540,BED,14689,SBA,751,5
0CQ,ACM AIR CHARTER GmbH,ACM AIR CHARTER GmbH,11259,DAL,13158,MAF,658,4
0CQ,ACM AIR CHARTER GmbH,ACM AIR CHARTER GmbH,11618,EWR,10519,BCT,658,2
0CQ,ACM AIR CHARTER GmbH,ACM AIR CHARTER GmbH,11618,EWR,15167,TEB,658,2
0CQ,ACM AIR CHARTER GmbH,ACM AIR CHARTER GmbH,14492,RDU,13344,MKG,658,2
0CQ,ACM AIR CHARTER GmbH,ACM AIR CHARTER GmbH,14689,SBA,14831,SJC,751,5
0CQ,ACM AIR CHARTER GmbH,ACM AIR CHARTER GmbH,14996,SSI,11259,DAL,658,4
0Q,Flying Service N.V.,Flying Service N.V.,13232,MDW,10581,BGR,774,1
0Q,Flying Service N.V.,Flying Service N.V.,14321,PWM,13232,MDW,774,1
13Q,Chartright Air Inc.,Chartright Air Inc.,10329,APF,10519,BCT,636,1
13Q,Chartright Air Inc.,Chartright Air Inc.,10329,APF,13898,OPF,636,2
13Q,Chartright Air Inc.,Chartright Air Inc.,10329,APF,15615,VNC,752,1
13Q,Chartright Air Inc.,Chartright Air Inc.,10434,AVP,14100,PHL,636,3
13Q,Chartright Air Inc.,Chartright Air Inc.,10519,BCT,14986,SRQ,515,2
13Q,Chartright Air Inc.,Chartright Air Inc.,10535,BDR,13931,ORF,636,1
13Q,Chartright Air Inc.,Chartright Air Inc.,10559,BFI,15618,VNY,609,3
13Q,Chartright Air Inc.,Chartright Air Inc.,10713,BOI,10327,APC,752,2
13Q,Chartright Air Inc.,Chartright Air Inc.,10792,BUF,10535,BDR,636,1
13Q,Chartright Air Inc.,Chartright Air Inc.,10821,BWI,14524,RIC,636,5
13Q,Chartright Air Inc.,Chartright Air Inc.,10994,CHS,10329,APF,636,3
13Q,Chartright Air Inc.,Chartright Air Inc.,11042,CLE,11035,CKV,636,1
13Q,Chartright Air Inc.,Chartright Air Inc.,11042,CLE,11057,CLT,636,3
13Q,Chartright Air Inc.,Chartright Air Inc.,11042,CLE,12191,HOU,636,3
13Q,Chartright Air Inc.,Chartright Air Inc.,11122,CPR,13476,MRY,682,5
13Q,Chartright Air Inc.,Chartright Air Inc.,11252,DAB,13898,OPF,688,5
13Q,Chartright Air Inc.,Chartright Air Inc.,11267,DAY,14635,RSW,685,1
13Q,Chartright Air Inc.,Chartright Air Inc.,11433,DTW,14730,SDF,669,5
13Q,Chartright Air Inc.,Chartright Air Inc.,11827,FXE,14986,SRQ,685,5
13Q,Chartright Air Inc.,Chartright Air Inc.,11977,GRB,12396,ISW,636,3
13Q,Chartright Air Inc.,Chartright Air Inc.,11995,GSO,12587,JZI,636,5
13Q,Chartright Air Inc.,Chartright Air Inc.,11995,GSO,15628,VRB,609,1
13Q,Chartright Air Inc.,Chartright Air Inc.,12003,GTF,12054,GYR,669,2
13Q,Chartright Air Inc.,Chartright Air Inc.,12003,GTF,14262,PSP,669,3
13Q,Chartright Air Inc.,Chartright Air Inc.,12266,IAH,11298,DFW,669,3
13Q,Chartright Air Inc.,Chartright Air Inc.,12266,IAH,12087,HCR,609,1
13Q,Chartright Air Inc.,Chartright Air Inc.,12339,IND,14194,PNX,636,2
13Q,Chartright Air Inc.,Chartright Air Inc.,12396,ISW,13930,ORD,636,3
13Q,Chartright Air Inc.,Chartright Air Inc.,12451,JAX,13204,MCO,636,3
13Q,Chartright Air Inc.,Chartright Air Inc.,12884,LAN,11066,CMH,636,1
13Q,Chartright Air Inc.,Chartright Air Inc.,12889,LAS,13796,OAK,636,2
13Q,Chartright Air Inc.,Chartright Air Inc.,12953,LGA,14712,SCF,609,5
13Q,Chartright Air Inc.,Chartright Air Inc.,13158,MAF,14194,PNX,636,2
13Q,Chartright Air Inc.,Chartright Air Inc.,13198,MCI,12889,LAS,636,1
13Q,Chartright Air Inc.,Chartright Air Inc.,13198,MCI,15167,TEB,685,2
13Q,Chartright Air Inc.,Chartright Air Inc.,13476,MRY,14081,PGA,682,5
13Q,Chartright Air Inc.,Chartright Air Inc.,13796,OAK,11775,FSD,636,2
13Q,Chartright Air Inc.,Chartright Air Inc.,13898,OPF,10329,APF,639,5
13Q,Chartright Air Inc.,Chartright Air Inc.,13898,OPF,15030,SUA,669,1
13Q,Chartright Air Inc.,Chartright Air Inc.,13930,ORD,10329,APF,636,5
13Q,Chartright Air Inc.,Chartright Air Inc.,14112,PIE,14027,PBI,636,1
13Q,Chartright Air Inc.,Chartright Air Inc.,14122,PIT,10208,AGS,609,1
13Q,Chartright Air Inc.,Chartright Air Inc.,14122,PIT,13809,OCF,479,1
13Q,Chartright Air Inc.,Chartright Air Inc.,14122,PIT,13809,OCF,636,1
13Q,Chartright Air Inc.,Chartright Air Inc.,14122,PIT,14938,SOP,636,5
13Q,Chartright Air Inc.,Chartright Air Inc.,14194,PNX,13158,MAF,636,2
13Q,Chartright Air Inc.,Chartright Air Inc.,14262,PSP,13198,MCI,685,2
13Q,Chartright Air Inc.,Chartright Air Inc.,14307,PVD,12587,JZI,636,5
13Q,Chartright Air Inc.,Chartright Air Inc.,14492,RDU,10329,APF,636,3
13Q,Chartright Air Inc.,Chartright Air Inc.,14524,RIC,10423,AUS,636,5
13Q,Chartright Air Inc.,Chartright Air Inc.,14543,RKS,14869,SLC,669,3
13Q,Chartright Air Inc.,Chartright Air Inc.,14633,RST,11827,FXE,636,1
13Q,Chartright Air Inc.,Chartright Air Inc.,14635,RSW,11267,DAY,685,1
13Q,Chartright Air Inc.,Chartright Air Inc.,14635,RSW,11827,FXE,636,5
13Q,Chartright Air Inc.,Chartright Air Inc.,14712,SCF,10559,BFI,688,5
13Q,Chartright Air Inc.,Chartright Air Inc.,14794,SGU,14543,RKS,669,3
13Q,Chartright Air Inc.,Chartright Air Inc.,14869,SLC,14794,SGU,669,3
13Q,Chartright Air Inc.,Chartright Air Inc.,14986,SRQ,10519,BCT,515,1
13Q,Chartright Air Inc.,Chartright Air Inc.,14986,SRQ,10519,BCT,685,5
13Q,Chartright Air Inc.,Chartright Air Inc.,14986,SRQ,13898,OPF,685,5
13Q,Chartright Air Inc.,Chartright Air Inc.,15030,SUA,11252,DAB,609,1
13Q,Chartright Air Inc.,Chartright Air Inc.,15030,SUA,15628,VRB,609,1
13Q,Chartright Air Inc.,Chartright Air Inc.,15167,TEB,11637,FAR,685,2
13Q,Chartright Air Inc.,Chartright Air Inc.,15167,TEB,13898,OPF,641,3
13Q,Chartright Air Inc.,Chartright Air Inc.,15376,TUS,13898,OPF,669,3
13Q,Chartright Air Inc.,Chartright Air Inc.,15628,VRB,14524,RIC,609,3
15Q,Air Alsie A/S,Air Alsie A/S,10171,ADS,11495,EFD,775,3
15Q,Air Alsie A/S,Air Alsie A/S,10171,ADS,14027,PBI,775,1
15Q,Air Alsie A/S,Air Alsie A/S,10171,ADS,15167,TEB,775,3
15Q,Air Alsie A/S,Air Alsie A/S,10325,APA,14996,SSI,775,2
15Q,Air Alsie A/S,Air Alsie A/S,10329,APF,12882,LAL,775,2
15Q,Air Alsie A/S,Air Alsie A/S,10540,BED,15030,SUA,775,1
15Q,Air Alsie A/S,Air Alsie A/S,10540,BED,15167,TEB,725,5
15Q,Air Alsie A/S,Air Alsie A/S,10581,BGR,10849,BZN,682,1
15Q,Air Alsie A/S,Air Alsie A/S,10721,BOS,15167,TEB,776,1
15Q,Air Alsie A/S,Air Alsie A/S,11057,CLT,13898,OPF,775,2
15Q,Air Alsie A/S,Air Alsie A/S,11292,DEN,14262,PSP,725,2
15Q,Air Alsie A/S,Air Alsie A/S,11495,EFD,10171,ADS,775,3
15Q,Air Alsie A/S,Air Alsie A/S,11503,EGE,13898,OPF,775,5
15Q,Air Alsie A/S,Air Alsie A/S,11728,FOK,12264,IAD,682,1
15Q,Air Alsie A/S,Air Alsie A/S,11827,FXE,11618,EWR,775,1
15Q,Air Alsie A/S,Air Alsie A/S,12264,IAD,13303,MIA,775,2
15Q,Air Alsie A/S,Air Alsie A/S,12264,IAD,15167,TEB,775,4
15Q,Air Alsie A/S,Air Alsie A/S,13232,MDW,15618,VNY,776,4
15Q,Air Alsie A/S,Air Alsie A/S,13303,MIA,14869,SLC,775,2
15Q,Air Alsie A/S,Air Alsie A/S,13898,OPF,10329,APF,775,2
15Q,Air Alsie A/S,Air Alsie A/S,14027,PBI,10171,ADS,775,3
15Q,Air Alsie A/S,Air Alsie A/S,14262,PSP,11503,EGE,725,2
15Q,Air Alsie A/S,Air Alsie A/S,14869,SLC,10325,APA,775,2
15Q,Air Alsie A/S,Air Alsie A/S,14996,SSI,12191,HOU,775,2
15Q,Air Alsie A/S,Air Alsie A/S,15016,STL,15167,TEB,775,5
15Q,Air Alsie A/S,Air Alsie A/S,15030,SUA,11827,FXE,775,1
15Q,Air Alsie A/S,Air Alsie A/S,15167,TEB,10171,ADS,775,1
15Q,Air Alsie A/S,Air Alsie A/S,15167,TEB,11057,CLT,775,2
15Q,Air Alsie A/S,Air Alsie A/S,15167,TEB,12197,HPN,775,5
15Q,Air Alsie A/S,Air Alsie A/S,15167,TEB,12264,IAD,775,2
