PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH,CLASS
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",10292,AMS,13198,MCI,2,L
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",11032,CUN,10466,AZA,2,L
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",11185,CUR,10466,AZA,4,L
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",12206,HRL,13605,NAS,5,L
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",12986,LIM,10466,AZA,4,L
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",13198,MCI,11032,CUN,3,L
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",13198,MCI,14312,PVR,2,L
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",13198,MCI,16163,YQB,2,L
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",13605,NAS,10747,BRO,5,L
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",14259,PSM,16149,YOW,5,L
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",14307,PVD,11185,CUR,5,L
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",14717,SCL,10185,AEX,5,L
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",16163,YQB,10721,BOS,5,L
0.00,1BQ,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",16782,DSS,12206,HRL,5,L
0.00,27Q,21652,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",10521,BDA,12264,IAD,5,L
0.00,27Q,21652,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",10540,BED,11760,FRA,5,L
0.00,27Q,21652,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",11259,DAL,14832,SJD,1,L
0.00,27Q,21652,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",11697,FLL,10444,AXA,1,L
0.00,27Q,21652,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",11697,FLL,13605,NAS,5,L
0.00,27Q,21652,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",11868,GCM,12264,IAD,1,L
0.00,27Q,21652,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",13303,MIA,10444,AXA,1,L
0.00,27Q,21652,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",13605,NAS,11697,FLL,5,L
0.00,27Q,21652,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",13605,NAS,13898,OPF,4,L
0.00,27Q,21652,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",14453,RAK,14843,SJU,4,L
