Passport,,,,,,,,,,,,,
,Number of Foreign Tourist Visits per Month by Passport (Visit),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
Malaysia,221474,214605,159895,170018,238497,236417,212113,229726,272421,234384,207037,243162,2639749
Singapore,110484,89757,100883,97506,126391,183748,114224,129864,119237,123578,126254,204512,1526438
Timor Leste,75735,61770,63471,69721,80809,82296,90840,89516,86861,90077,98987,119098,1009181
Indonesia,46451,42534,35310,45118,51180,69252,55391,62962,54550,58476,50980,59812,632016
Philippines,16370,15505,15457,18652,23264,24580,22132,22278,20437,22948,22054,23051,246728
Thailand,6043,7262,6536,10073,11683,9490,11397,11953,10099,11124,8423,8054,112137
Vietnam,5821,6781,6087,7446,7151,7736,9192,9152,6963,6802,7182,7085,87398
Myanmar/Burma,5235,3061,4020,5293,4837,5271,4468,5035,4517,4779,4440,6191,57147
Brunei Darussalam,2095,2226,1314,1789,2563,3348,2267,3659,2058,2158,2735,5585,31797
Kamboja,725,762,741,892,804,798,1031,986,813,1104,1393,900,10949
Laos,137,235,185,425,342,270,335,412,268,270,298,224,3401
A S E A N,490570,444498,393899,426933,547521,623206,523390,565543,578224,555700,529783,677674,6356941
"Hongkong, RRT",8417,6070,7340,10400,10901,13022,13417,13412,11483,13086,11120,12472,131140
Republik Rakyat Tiongkok,111226,89302,84497,106553,114706,113520,144531,140667,113264,119617,105505,100686,1344074
India,47600,49028,54564,61694,84381,80992,59775,54902,55809,55387,57486,72872,734490
South Korea,47814,39362,27278,33281,38581,41529,54261,49382,41605,46778,38153,38838,496862
Japan,22041,30450,29533,23534,25758,29569,34433,50977,39664,33001,28149,32970,380079
Turki,4796,4054,4913,4538,6668,7714,6146,6073,6945,5527,5349,4179,66902
Mongolia,2043,753,540,426,269,373,434,292,379,604,725,2870,9708
Kazakhstan,2764,2153,1789,1861,1486,1781,2422,2076,1347,2060,2028,2657,24424
Pakistan,2406,2205,1103,2550,2455,3429,4017,3953,3410,3332,3461,4027,36348
Uzbekistan,1374,901,279,523,477,786,1360,1202,496,786,1087,1209,10480
Bangladesh,1717,1531,1486,1815,1820,1280,1120,1291,1524,1716,2228,1801,19329
Nepal,904,996,1083,1247,1430,1319,1798,1717,1282,1484,1256,1320,15836
Taiwan,20452,14277,14040,16271,17231,18610,20168,19164,17965,20161,13958,12407,204704
Srilanka,724,673,811,1078,1195,1041,1294,1212,1393,1206,1225,1146,12998
Other Asia,29583,20937,21876,27467,28919,32671,34775,33800,30533,34436,26221,26143,347361
Maldives,203,218,142,420,447,405,432,366,362,351,392,387,4125
Kirgistan,208,135,159,128,131,143,107,197,135,186,166,278,1973
Tajikhistan,56,50,22,36,21,28,86,81,50,41,62,39,572
Bhutan,99,81,60,57,46,91,85,65,77,86,141,72,960
Afganistan,36,18,19,18,44,52,35,48,66,75,46,106,563
Turkmenistan,61,37,45,37,33,97,115,90,81,55,54,52,757
Stateless,2,3,2,3,1,10,3,4,5,2,6,4,45
Korea Utara,4,0,1,5,0,5,4,0,4,0,5,4,32
"Macao, RRT",29,42,43,91,63,202,319,366,301,385,270,319,2430
British Indian Ocean Teritory,0,0,0,0,0,0,0,0,0,0,0,0,0
Lain-lain,28914,20395,21426,26763,28196,31840,33908,32949,29753,33640,25349,25201,338334
TOTAL ASIA (Excl.ASEAN),274992,242345,229752,266567,308145,316004,346366,347544,297651,305934,272873,290718,3498891
Saudi Arabia,9636,4034,2413,10820,13784,16021,25923,18415,12639,12176,18321,12136,156318
Oman,1155,827,126,890,1300,2486,2831,1958,1102,1308,1391,1289,16663
Egypt,1131,1045,801,1995,2134,2697,2218,1933,2137,2386,1710,1843,22030
Jordan,622,549,449,776,715,987,1093,906,914,902,786,767,9466
Uni Emirat Arab,513,527,296,929,1063,1529,1679,1287,878,900,820,872,11293
Yaman,461,305,205,481,722,817,1030,924,651,720,778,667,7761
Other Middle East,1782,1718,2995,2421,2944,3667,3746,4544,3918,3289,2952,2591,36567
Iran,353,396,1955,547,855,597,429,809,1104,825,770,798,9438
Kuwait,293,230,84,266,343,581,843,1226,421,343,246,290,5166
Irak,400,433,189,445,417,573,409,544,693,577,586,413,5679
Syiria,174,117,181,257,332,468,439,431,389,406,367,307,3868
Palestina,186,160,97,232,255,322,339,369,385,284,341,235,3205
Libanon,169,201,317,319,376,533,612,549,556,375,296,274,4577
Bahrain,120,96,73,194,218,297,276,273,173,277,212,145,2354
Qatar,71,64,82,129,90,272,320,281,120,116,93,88,1726
Israel,16,21,17,32,58,24,79,62,77,86,41,41,554
TOTAL MIDDLE EAST,15300,9005,7285,18312,22662,28204,38520,29967,22239,21681,26758,20165,260098
United Kingdom,26507,25269,33623,40946,36877,36189,43372,43868,35006,34337,26157,30751,412902
R u s i a,26039,21646,20749,17991,14829,15767,15544,15243,13197,17469,17081,23607,219162
France,14646,16530,17850,33373,35244,30571,53878,57952,39451,35570,18150,14689,367904
Germany,14679,17517,21053,26169,24860,21853,29051,37506,33584,28264,17038,16022,287596
Netherlands,15112,14122,15168,21611,20102,17058,45100,25691,26475,20716,14769,16017,251941
I t a l y,5289,4957,5679,10029,8666,11140,17227,45846,14424,9695,6472,6936,146360
Spain,5243,5196,6111,9651,9085,12380,19215,27119,17371,13137,8698,7039,140245
Polandia,4961,6110,5392,4620,3953,5389,6440,7108,7573,6414,5965,4175,68100
Ukraine,3934,3118,2982,2177,2027,2276,2057,2014,2055,2283,2387,3378,30688
Sweden,3631,3690,3376,3168,1988,3041,3228,2218,2637,3723,2877,5142,38719
Denmark,3447,3641,3951,4867,2540,2729,7858,2786,3404,4138,2306,2642,44309
Switzerland,2843,2867,3233,5962,4751,4843,11239,5390,5919,5948,3889,3732,60616
Portugal,2955,2024,2655,4064,3017,3524,4393,4871,3643,3698,2907,3442,41193
Ceko,2082,2769,2593,2462,1356,2164,2077,1684,2137,2835,2426,2624,27209
Irlandia (Ireland),2515,2262,3125,3741,3331,3969,4580,3834,3405,3157,2421,3267,39607
Belgium,2080,2175,2636,4620,4887,5006,10662,6225,7443,4840,2705,2214,55493
Norway,1809,2095,2249,2125,1146,2480,3421,1404,1725,1895,1522,1850,23721
Romania,2138,2123,1869,2665,2237,2248,1908,2804,2776,2359,1508,2556,27191
Austria,1902,2134,2101,2488,2587,2603,5019,4380,3573,2896,2208,2204,34095
Hongaria,1640,1819,1922,2146,1472,1820,1666,1465,1736,2622,1367,1367,21042
Finland,1782,1718,1528,1167,800,977,653,607,942,1509,1347,1352,14382
Belarus,1342,1175,1096,708,686,815,707,720,751,728,821,906,10455
Lithuania,954,1106,1008,747,599,678,629,544,773,964,935,879,9816
Slovakia,814,922,1010,1198,911,1066,829,948,1071,1147,1016,978,11910
Estonia,854,1123,740,397,268,245,254,266,383,588,772,854,6744
Bulgaria,845,1080,1248,1054,657,445,502,664,724,877,925,1282,10303
Yunani (Greece),811,781,824,1129,789,788,1107,2574,992,941,1049,1244,13029
Latvia,593,561,653,429,292,245,200,244,304,527,632,726,5406
Croasia,465,405,385,415,346,385,525,489,439,402,388,533,5177
Other West Europe,281,339,375,596,425,515,861,1041,654,510,293,480,6370
Iceland (Islandia),96,132,131,138,72,153,106,71,102,141,81,128,1351
Malta,95,79,96,143,133,167,304,308,243,116,71,179,1934
Luxemburg,57,99,107,235,153,130,320,499,228,176,101,125,2230
Liechtenstein,8,9,20,24,22,15,71,25,39,35,9,11,288
Monako,11,3,5,6,8,14,12,26,7,11,7,7,117
Andorra,8,13,12,40,30,26,35,86,26,27,17,26,346
San Marino,3,3,0,3,4,8,11,22,7,2,4,2,69
Aruba,0,1,4,6,3,1,2,3,1,2,3,2,28
Scotlandia,0,0,0,0,0,0,0,0,0,0,0,0,0
Vatikan,3,0,0,1,0,1,0,1,1,0,0,0,7
Volta Atas,0,0,0,0,0,0,0,0,0,0,0,0,0
Hellenic,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,0,0,0,0,0,0,0,0,0,0,0,0,0
Other East Europe,1523,1733,1672,2164,1597,2374,3345,2988,2375,2190,1658,1647,25266
Serbia,367,340,358,526,376,611,719,611,463,400,330,370,5471
Slovenia,314,591,384,671,276,570,1154,549,704,638,374,407,6632
Armenia,184,153,116,119,121,150,252,188,172,174,168,157,1954
Azerbaijan,150,145,289,181,227,326,358,452,248,199,229,182,2986
Cyprus,117,127,173,209,130,188,364,522,181,217,140,172,2540
Macedonia,43,28,56,74,45,77,91,80,106,87,61,58,806
Bosnia Herzegovina,74,70,66,120,132,141,102,98,104,113,69,95,1184
Georgia,71,65,59,76,129,146,144,216,113,119,61,44,1243
Albania,84,87,85,120,88,82,75,179,141,129,109,64,1243
Moldova,74,57,61,34,37,51,44,58,62,77,75,63,693
Montenegro,45,70,25,34,36,32,42,35,80,37,42,34,512
Republik Cosovo,0,0,0,0,0,0,0,0,1,0,0,1,2
Siberia,0,0,0,0,0,0,0,0,0,0,0,0,0
Yugoslavia,0,0,0,0,0,0,0,0,0,0,0,0,0
