name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Buenos Aires Museum of Modern Art (MAMBA)	art_museum	Art Museum		Buenos Aires	Buenos Aires						
Ernesto de la Cárcova Museum of Reproductions and Comparative Sculpture	art_museum	Art Museum		Buenos Aires	Buenos Aires						
Fortabat Art Collection	art_museum	Art Museum		Buenos Aires	Buenos Aires						
Latin American Art Museum of Buenos Aires (MALBA)	art_museum	Art Museum		Buenos Aires	Buenos Aires						
Museo Nacional de Bellas Artes	art_museum	Art Museum		Buenos Aires	Buenos Aires						
Museo de Arte Español Enrique Larreta	art_museum	Art Museum		Buenos Aires	Buenos Aires						
Museo de Arte Hispanoamericano Isaac Fernández Blanco	art_museum	Art Museum		Buenos Aires	Buenos Aires						
National Museum of Decorative Arts	art_museum	Art Museum		Buenos Aires	Buenos Aires						
Tigre Club	art_museum	Art Museum		Buenos Aires	Buenos Aires						
Caraffa Fine Arts Museum	art_museum	Art Museum		Córdoba	Córdoba						
Evita Fine Arts Museum	art_museum	Art Museum		Córdoba	Córdoba						
Ángel María de Rosa Municipal Museum of Art	art_museum	Art Museum		Junín	Junín						
Juan Carlos Castagnino Municipal Museum of Art	art_museum	Art Museum		Mar del Plata	Mar del Plata						
Firma y Odilo Estévez Municipal Decorative Art Museum	art_museum	Art Museum		Rosario	Rosario						
Juan B. Castagnino Fine Arts Museum	art_museum	Art Museum		Rosario	Rosario						
Museum of Contemporary Art of Rosario	art_museum	Art Museum		Rosario	Rosario						
Timoteo Navarro Museum of Art	art_museum	Art Museum		San Miguel de Tucumán	San Miguel de Tucumán						
Galileo Galilei planetarium	science_museum	Science Museum		Parque Tres de Febrero, Palermo, Buenos Aires	Parque Tres de Febrero, Palermo, Buenos Aires						
Parque Astronòmico la Punta	science_museum	Science Museum		Universidad de La Punta, Ciudad de La Punta, San Luis, Argentina	Universidad de La Punta, Ciudad de La Punta, San Luis, Argentina						
