name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Museu Oscar Niemeyer	art_museum	Art Museum		Curitiba	Curitiba			17000		2002	2002
Pinacoteca do Estado de São Paulo	art_museum	Art Museum		São Paulo	São Paulo			9112	98080	1905	1905
Niterói Contemporary Art Museum	art_museum	Art Museum		Niterói	Niterói						
Rio Grande do Sul Museum of Art	art_museum	Art Museum		Porto Alegre	Porto Alegre						
Museu de Arte de Ribeirão Preto	art_museum	Art Museum		Ribeirão Preto	Ribeirão Preto						
Museu Nacional de Belas Artes	art_museum	Art Museum		Rio de Janeiro	Rio de Janeiro						
Museum of Modern Art Rio de Janeiro(MAM)	art_museum	Art Museum		Rio de Janeiro	Rio de Janeiro						
Santa Catarina Art Museum	art_museum	Art Museum		Santa Catarina	Santa Catarina						
Museum of Contemporary Art, University of São Paulo	art_museum	Art Museum		São Paulo	São Paulo						
São Paulo Museum of Art	art_museum	Art Museum		São Paulo	São Paulo						
São Paulo Museum of Modern Art (MAM)	art_museum	Art Museum		São Paulo	São Paulo						
Museum of Science and Technology (PUCRS)	science_museum	Science Museum		Porto Alegre	Porto Alegre						
Museum of Life	science_museum	Science Museum		Rio de Janeiro	Rio de Janeiro						
National Museum of Brazil	science_museum	Science Museum		Rio de Janeiro	Rio de Janeiro						
Catavento Museum	science_museum	Science Museum		São Paulo	São Paulo						
