name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Royal Ontario Museum	art_museum	Art Museum		Toronto	Toronto			19900	214000	1912	1912
Montreal Museum of Fine Arts	art_museum	Art Museum		Montreal	Montreal			13000	140000	1860	1860
National Gallery of Canada	art_museum	Art Museum		Ottawa	Ottawa			12400	133000	1880	1880
Art Gallery of Ontario	art_museum	Art Museum		Toronto	Toronto			12000	129000	1900	1900
Musée d'art contemporain de Baie-Saint-Paul	art_museum	Art Museum		Baie-Saint-Paul, Quebec	Baie-Saint-Paul, Quebec						
Walter Phillips Gallery	art_museum	Art Museum		Banff, Alberta	Banff, Alberta						
MacLaren Art Centre	art_museum	Art Museum		Barrie, Ontario	Barrie, Ontario						
Peel Art Gallery, Museum and Archives	art_museum	Art Museum		Brampton, Ontario	Brampton, Ontario						
Art Gallery of Burlington	art_museum	Art Museum		Burlington, Ontario	Burlington, Ontario						
Glenbow Museum	art_museum	Art Museum		Calgary, Alberta	Calgary, Alberta						
Art Gallery of Alberta	art_museum	Art Museum		Edmonton, Alberta	Edmonton, Alberta						
Beaverbrook Art Gallery	art_museum	Art Museum		Fredericton, New Brunswick	Fredericton, New Brunswick						
Art Gallery of Guelph	art_museum	Art Museum		Guelph, Ontario	Guelph, Ontario						
Art Gallery of Nova Scotia	art_museum	Art Museum		Halifax, Nova Scotia	Halifax, Nova Scotia						
Arctic Experience McNaught Gallery	art_museum	Art Museum		Hamilton, Ontario	Hamilton, Ontario						
Art Gallery of Hamilton	art_museum	Art Museum		Hamilton, Ontario	Hamilton, Ontario						
McMaster Museum of Art	art_museum	Art Museum		Hamilton, Ontario	Hamilton, Ontario						
Agnes Etherington Art Centre	art_museum	Art Museum		Kingston, Ontario	Kingston, Ontario						
Southern Alberta Art Gallery	art_museum	Art Museum		Lethbridge, Alberta	Lethbridge, Alberta						
Art Gallery of Mississauga	art_museum	Art Museum		Mississauga, Ontario	Mississauga, Ontario						
The Blackwood	art_museum	Art Museum		Mississauga, Ontario	Mississauga, Ontario						
Musée d'art contemporain de Montréal	art_museum	Art Museum		Montreal, Quebec	Montreal, Quebec						
RiverBrink Art Museum	art_museum	Art Museum		Niagara-on-the-Lake, Ontario	Niagara-on-the-Lake, Ontario						
