name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Bogotá Museum of Modern Art (MAMBO)	art_museum	Art Museum		Bogotá	Bogotá						
Botero Museum	art_museum	Art Museum		Bogotá	Bogotá						
Colombian National Museum	art_museum	Art Museum		Bogotá	Bogotá						
Colonial Art Museum of Bogotá	art_museum	Art Museum		Bogotá	Bogotá						
Gold Museum	art_museum	Art Museum		Bogotá	Bogotá						
Miguel Urrutia Art Museum	art_museum	Art Museum		Bogotá	Bogotá						
Museum of Contemporary Art of Bogotá	art_museum	Art Museum		Bogotá	Bogotá						
La Tertulia Museum	art_museum	Art Museum		Cali	Cali						
Museo de Arte del Tolima	art_museum	Art Museum		Ibagué	Ibagué						
El Castillo Museum	art_museum	Art Museum		Medellín	Medellín						
Medellín Museum of Modern Art (MAMM)	art_museum	Art Museum		Medellín	Medellín						
Museum of Antioquia	art_museum	Art Museum		Medellín	Medellín						
Maloka Museum	science_museum	Science Museum		Bogotá	Bogotá						
Parque Explora	science_museum	Science Museum		Medellín	Medellín						
