name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
National Gallery in Prague (Veletržní)	art_museum	Art Museum		Prague	Prague			13500	145000	1796	1796
Lobkowicz collection in the Castle (Zamek Nelahozeves)	art_museum	Art Museum		Nelahozeves	Nelahozeves						
DOX Centre for Contemporary Art	art_museum	Art Museum		Prague	Prague						
Galerie Rudolfinum	art_museum	Art Museum		Prague	Prague						
Josef Sudek Gallery	art_museum	Art Museum		Prague	Prague						
Kunsthalle Praha	art_museum	Art Museum		Prague	Prague						
Museum Kampa	art_museum	Art Museum		Prague	Prague						
Museum of Decorative Arts in Prague	art_museum	Art Museum		Prague	Prague						
National Gallery	art_museum	Art Museum		Prague	Prague						
Náprstek Museum	art_museum	Art Museum		Prague	Prague						
Prague Castle Galleries	art_museum	Art Museum		Prague	Prague						
Václav Špála Gallery	art_museum	Art Museum		Prague	Prague						
Techmania Science Center	science_museum	Science Museum		Plzeň	Plzeň						
National Technical Museum	science_museum	Science Museum		Prague	Prague						
