name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Humboldt Forum	art_museum	Art Museum		Berlin	Berlin			29500	317500	2020	2020
Bavarian National Museum	art_museum	Art Museum		Munich	Munich			13000	140000	1855	1855
Hamburger Kunsthalle	art_museum	Art Museum		Hamburg	Hamburg			12000	130000	1869	1869
Pinakothek der Moderne	art_museum	Art Museum		Munich	Munich			12000	130000	2002	2002
Hamburger Bahnhof	art_museum	Art Museum		Berlin	Berlin			10000	110000	1996	1996
Museum Kunstpalast	art_museum	Art Museum		Düsseldorf	Düsseldorf			10000	110000	1913	1913
Gemäldegalerie	art_museum	Art Museum		Berlin	Berlin			8000	86000	1830	1830
Museum Ludwig	art_museum	Art Museum		Cologne	Cologne			8000	86000	1976	1976
Neues Museum	art_museum	Art Museum		Berlin	Berlin			8000	86000	1855	1855
Kunstsammlungen und Museen Augsburg	art_museum	Art Museum		Augsburg	Augsburg						
Alte Nationalgalerie	art_museum	Art Museum		Berlin	Berlin						
Altes Museum	art_museum	Art Museum		Berlin	Berlin						
Bauhaus Archive	art_museum	Art Museum		Berlin	Berlin						
Berlinische Galerie	art_museum	Art Museum		Berlin	Berlin						
Bodemuseum	art_museum	Art Museum		Berlin	Berlin						
Bröhan Museum	art_museum	Art Museum		Berlin	Berlin						
Brücke Museum	art_museum	Art Museum		Berlin	Berlin						
Friedrichswerder Church	art_museum	Art Museum		Berlin	Berlin						
Jewish Museum Berlin	art_museum	Art Museum		Berlin	Berlin						
Kunstgewerbemuseum	art_museum	Art Museum		Berlin	Berlin						
Museum Berggruen	art_museum	Art Museum		Berlin	Berlin						
Museum of Asian Art	art_museum	Art Museum		Berlin	Berlin						
Museum of Islamic Art	art_museum	Art Museum		Berlin	Berlin						
Märkisches Museum	art_museum	Art Museum		Berlin	Berlin						
Neue Nationalgalerie	art_museum	Art Museum		Berlin	Berlin						
Pergamonmuseum	art_museum	Art Museum		Berlin	Berlin						
Scharf-Gerstenberg Collection	art_museum	Art Museum		Berlin	Berlin						
Kunsthalle Bielefeld	art_museum	Art Museum		Bielefeld	Bielefeld						
Kunstmuseum Bonn	art_museum	Art Museum		Bonn	Bonn						
Rheinisches Landesmuseum Bonn	art_museum	Art Museum		Bonn	Bonn						
Herzog Anton Ulrich Museum	art_museum	Art Museum		Braunschweig	Braunschweig						
Kunsthalle	art_museum	Art Museum		Bremen	Bremen						
Paula Modersohn-Becker Museum	art_museum	Art Museum		Bremen	Bremen						
Museum Gunzenhauser	art_museum	Art Museum		Chemnitz	Chemnitz						
Käthe Kollwitz Museum	art_museum	Art Museum		Cologne	Cologne						
Museum für Angewandte Kunst (Cologne)	art_museum	Art Museum		Cologne	Cologne						
Romano-Germanic Museum	art_museum	Art Museum		Cologne	Cologne						
Schnütgen Museum	art_museum	Art Museum		Cologne	Cologne						
Wallraf-Richartz Museum	art_museum	Art Museum		Cologne	Cologne						
Hessisches Landesmuseum Darmstadt	art_museum	Art Museum		Darmstadt	Darmstadt						
Museum Art.Plus	art_museum	Art Museum		Donaueschingen	Donaueschingen						
Galerie Neue Meister	art_museum	Art Museum		Dresden	Dresden						
Gemäldegalerie Alte Meister	art_museum	Art Museum		Dresden	Dresden						
Grünes Gewölbe	art_museum	Art Museum		Dresden	Dresden						
Lehmbruck Museum	art_museum	Art Museum		Duisburg	Duisburg						
Museum Küppersmühle	art_museum	Art Museum		Duisburg	Duisburg						
Kunstsammlung Nordrhein-Westfalen	art_museum	Art Museum		Düsseldorf	Düsseldorf						
museum Kunst Palast	art_museum	Art Museum		Düsseldorf	Düsseldorf						
Angermuseum	art_museum	Art Museum		Erfurt	Erfurt						
Museum Folkwang	art_museum	Art Museum		Essen	Essen						
Liebieghaus	art_museum	Art Museum		Frankfurt	Frankfurt						
Museum Giersch	art_museum	Art Museum		Frankfurt	Frankfurt						
Museum für Moderne Kunst	art_museum	Art Museum		Frankfurt	Frankfurt						
Museum für angewandte Kunst	art_museum	Art Museum		Frankfurt	Frankfurt						
Städel	art_museum	Art Museum		Frankfurt	Frankfurt						
Augustiner Museum	art_museum	Art Museum		Freiburg im Breisgau	Freiburg im Breisgau						
Stiftung Moritzburg / Kunstmuseum des Landes Sachsen-Anhalt	art_museum	Art Museum		Halle, Saxony-Anhalt	Halle, Saxony-Anhalt						
