name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
ARoS Aarhus Kunstmuseum	art_museum	Art Museum		Aarhus	Aarhus						
Moesgaard Museum	art_museum	Art Museum		Aarhus	Aarhus						
Arken Museum of Modern Art	art_museum	Art Museum		Copenhagen	Copenhagen						
Ny Carlsberg Glyptotek	art_museum	Art Museum		Copenhagen	Copenhagen						
Statens Museum for Kunst	art_museum	Art Museum		Copenhagen	Copenhagen						
Thorvaldsens Museum	art_museum	Art Museum		Copenhagen	Copenhagen						
Louisiana Museum of Modern Art	art_museum	Art Museum		Humlebæk	Humlebæk						
Nivaagaards Malerisamling	art_museum	Art Museum		Nivå	Nivå						
Randers Museum of Art	art_museum	Art Museum		Randers	Randers						
Science Museums	science_museum	Science Museum		Aarhus	Aarhus						
Kroppedal	science_museum	Science Museum		Copenhagen	Copenhagen						
Natural History Museum of Denmark	science_museum	Science Museum		Copenhagen	Copenhagen						
Tycho Brahe Planetarium	science_museum	Science Museum		Copenhagen	Copenhagen						
