name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Egyptian Museum	art_museum	Art Museum		Cairo	Cairo			15000	160000	1902	1902
Darb 1718	art_museum	Art Museum		Cairo	Cairo						
Gezira Center for Modern Art	art_museum	Art Museum		Cairo	Cairo						
Mohamed Mahmoud Khalil Museum	art_museum	Art Museum		Cairo	Cairo						
Museum of Islamic Art	art_museum	Art Museum		Cairo	Cairo						
Museum of Islamic Ceramics	art_museum	Art Museum		Cairo	Cairo						
Prince Amr Ibrahim Palace	art_museum	Art Museum		Cairo	Cairo						
The Townhouse Gallery	art_museum	Art Museum		Cairo	Cairo						
Museum of Modern Art in Egypt	art_museum	Art Museum		Port Said	Port Said						
Agriculture Museum	science_museum	Science Museum									
Egyptian Geological Museum	science_museum	Science Museum									
Hurghada Grand Aquarium	science_museum	Science Museum									
Kasr EL-Aini Museum, Cairo University	science_museum	Science Museum									
Medicinal Plants Museum, Cairo University	science_museum	Science Museum									
Museum of the Zoology Department, South Valley University	science_museum	Science Museum									
Planetarium Science Center	science_museum	Science Museum									
The Children's Civilization and Creativity Center	science_museum	Science Museum									
Wadi-Hitan-Fossil-Climate-Change-Museum	science_museum	Science Museum									
Zoological and Geological Museums, Tanta University	science_museum	Science Museum									
