name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Louvre	art_museum	Art Museum		Paris	Paris			72735	782910	1792	1792
Musée National d'Art Moderne	art_museum	Art Museum		Paris	Paris			17000	180000	1947	1947
Musée d'Orsay	art_museum	Art Museum		Paris	Paris			16853	181400	1986	1986
Palais de Tokyo	art_museum	Art Museum		Paris	Paris			13000	140000	2001	2001
Palais des Beaux-Arts de Lille	art_museum	Art Museum		Lille	Lille			12000	130000	1809	1809
Musée Fabre	art_museum	Art Museum		Montpellier	Montpellier			9300	100000	1828	1828
Cité de l'Architecture et du Patrimoine	art_museum	Art Museum		Paris	Paris			9000	97000	1879	1879
Musée du quai Branly	art_museum	Art Museum		Paris	Paris			8750	94200	2006	2006
Petit Palais	art_museum	Art Museum		Paris	Paris			8000	86000	1902	1902
Musée du cheminot				Ambérieu-en-Bugey							
Musée de cire du Curé d'Ars				Ars-sur-Formans							
Municipal Museum of Bourg-en-Bresse				Bourg-en-Bresse							
Musée départemental des Pays de l'Ain				Bourg-en-Bresse							
Musée de la Visitation				Moulins							
Centre National du Costume de Scene				Moulins							
Château de La Louvière				Montluçon							
Musée des Musiques Populaires				Montluçon							
Musée vivarois				Annonay							
Musée d'art et d'archéologie				Aurillac							
Musée du château des Adhémar				Montélimar							
Musée européen de l'aviation de chasse				Montélimar							
Palais des Bonbons et du Nougat				Montélimar							
Musée des Beaux-Arts et d'Histoire Naturelle				Valence							
Musée gallo-romain				Aoste							
Musée Autrefois				Champ-sur-Drac							
Musée de la Viscose				Échirolles							
Musée Géo-Charles				Échirolles							
Musée de l'Ancien Evéché				Grenoble							
Grenoble Archaeological Museum				Grenoble							
Musée dauphinois				Grenoble							
Museum of Grenoble				Grenoble							
Musée de la Résistance et de la Déportation à Grenoble				Grenoble							
Muséum d'histoire naturelle de Grenoble				Grenoble							
Le Magasin				Grenoble							
Musée des Troupes de Montagne				Grenoble							
Musée Stendhal				Grenoble							
Musée de la Chimie				Jarrie							
Musée Hector Berlioz				La Côte-Saint-André							
Musée Hébert (La Tronche)				La Tronche							
Musée des Beaux-Arts et d'Archéologie				Vienne							
Musée de la Révolution française				Vizille							
Champollion Museum				Vif							
Musée Alice Taverne				Ambierle							
Musée d'art moderne				Saint-Étienne							
Musée d'art et d'industrie				Saint-Étienne							
Musée du vieux Saint-Étienne				Saint-Étienne							
Musée de la mine				Saint-Étienne							
Musée des transports urbains de Saint-Étienne et sa région				Saint-Étienne							
L'Astronef				Saint-Étienne							
Saint-Etienne Mine Museum				Saint-Étienne							
Musée d'Assier				Feurs							
Le Musée Crozatier				Le Puy-en-Velay							
Musée de la Dentelle				Brioude							
Musée du Saumon				Brioude							
musée de la résistance				Auvers							
Château de Chavaniac				Chavaniac-Lafayette							
Moulin Richard de Bas				Ambert							
Musée de la fourme				Ambert							
Musée de la dentelle à la main				Arlanc							
Musée d'Art Roger-Quilliot				Clermont-Ferrand							
Musée Bargoin				Clermont-Ferrand							
Muséum Henri-Lecoq				Clermont-Ferrand							
Musée départemental de la céramique de Lezoux				Lezoux							
Musée Francisque Mandet				Riom							
Musée Régional d'Auvergne				Riom							
Musée paysan de la Vallorgue				Saint-Anthème							
Musée Marcel Sahut				Volvic							
Musée Crozatier				Volvic							
Musée des traditions populaires Marius Audin				Beaujeu							
African Museum of Lyon				Lyon							
Centre d'histoire de la résistance et de la déportation				Lyon							
Musée des Beaux-Arts				Lyon							
Musée d'art contemporain				Lyon							
Musée gallo-romain de Lyon-Fourvière				Lyon							
Musée des Confluences				Lyon							
Muséum				Lyon							
Musée des Tissus et des Arts décoratifs				Lyon							
Musée Gadagne				Lyon							
Musée de l'Imprimerie				Lyon							
Musée Testut Latarjet d'anatomie				Lyon							
Musée des Hospices civils de Lyon				Lyon							
Musée de la miniature				Lyon							
Musée d'histoire de la médecine et de la pharmacie				Lyon							
Musée des Sapeurs Pompiers				Lyon							
Musée Ampère				Poleymieux-au-Mont-d'Or							
Musée de l'Automobile Henri Malartre				Rochetaillée-sur-Saône							
Musée Paul Dini				Villefranche-sur-Saône							
Faure Museum (Aix-les-Bains)				Aix-les-Bains							
