name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
British Museum	art_museum	Art Museum		London	London			92000	990000	1753	1753
Victoria and Albert Museum	art_museum	Art Museum		London	London			30658	330000	1852	1852
National Gallery	art_museum	Art Museum		London	London			13000	140000	1824	1824
Tate Modern	art_museum	Art Museum		London	London			12427	133760	2000	2000
Bowes Museum	art_museum	Art Museum		Barnard Castle	Barnard Castle						
Holburne Museum of Art	art_museum	Art Museum		Bath	Bath						
Barber Institute of Fine Arts	art_museum	Art Museum		Birmingham	Birmingham						
Birmingham Museum & Art Gallery	art_museum	Art Museum		Birmingham	Birmingham						
Bristol City Museum and Art Gallery	art_museum	Art Museum		Bristol (UK)	Bristol (UK)						
Royal West of England Academy	art_museum	Art Museum		Bristol (UK)	Bristol (UK)						
Fitzwilliam Museum	art_museum	Art Museum		Cambridge (UK)	Cambridge (UK)						
Kettle's Yard	art_museum	Art Museum		Cambridge (UK)	Cambridge (UK)						
National Museum	art_museum	Art Museum		Cardiff	Cardiff						
Herbert Art Gallery and Museum	art_museum	Art Museum		Coventry	Coventry						
Dean Gallery	art_museum	Art Museum		Edinburgh	Edinburgh						
National Gallery of Scotland	art_museum	Art Museum		Edinburgh	Edinburgh						
Scottish National Gallery of Modern Art	art_museum	Art Museum		Edinburgh	Edinburgh						
Scottish National Portrait Gallery	art_museum	Art Museum		Edinburgh	Edinburgh						
Burrell Collection	art_museum	Art Museum		Glasgow	Glasgow						
Gallery of Modern Art	art_museum	Art Museum		Glasgow	Glasgow						
Hunterian Art Gallery	art_museum	Art Museum		Glasgow	Glasgow						
Kelvingrove Art Gallery and Museum	art_museum	Art Museum		Glasgow	Glasgow						
Leeds Art Gallery	art_museum	Art Museum		Leeds	Leeds						
Royal Armouries Museum	art_museum	Art Museum		Leeds	Leeds						
Temple Newsam	art_museum	Art Museum		Leeds	Leeds						
Sudley House	art_museum	Art Museum		Liverpool	Liverpool						
Tate Liverpool	art_museum	Art Museum		Liverpool	Liverpool						
Walker Art Gallery	art_museum	Art Museum		Liverpool	Liverpool						
Apsley House	art_museum	Art Museum		London	London						
Courtauld Gallery	art_museum	Art Museum		London	London						
Dulwich Picture Gallery	art_museum	Art Museum		London	London						
