name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
National Archaeological Museum	art_museum	Art Museum		Athens	Athens			8000	86000	1866	1866
Benaki Museum	art_museum	Art Museum		Athens	Athens						
Museum of Cycladic Art	art_museum	Art Museum		Athens	Athens						
National Archaeological Museum of Athens	art_museum	Art Museum		Athens	Athens						
New Acropolis Museum	art_museum	Art Museum		Athens	Athens						
Vorres Museum	art_museum	Art Museum		Athens	Athens						
Archaeological Museum of Delos	art_museum	Art Museum		Delos	Delos						
Delphi Archaeological Museum	art_museum	Art Museum		Delphi	Delphi						
Heraklion Archaeological Museum	art_museum	Art Museum		Heraklion	Heraklion						
Archaeological Museum of Komotini	art_museum	Art Museum		Komotini	Komotini						
Archaeological Museum of Olympia	art_museum	Art Museum		Olympia, Greece	Olympia, Greece						
Archaeological Museum of Rhodes	art_museum	Art Museum		Rhodes	Rhodes						
Archaeological Museum of Thera	art_museum	Art Museum		Santorini	Santorini						
Museum of Prehistoric Thera	art_museum	Art Museum		Santorini	Santorini						
Archaeological Museum of Thessaloniki	art_museum	Art Museum		Thessaloniki	Thessaloniki						
OTE Museum of Telecommunications	science_museum	Science Museum		Kifisia, Athens	Kifisia, Athens						
Thessaloniki Science Center and Technology Museum	science_museum	Science Museum		Thessaloniki	Thessaloniki						
