name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Gallery of Fine Arts	art_museum	Art Museum		Split	Split						
Ivan Meštrović Gallery	art_museum	Art Museum		Split	Split						
Art Pavilion	art_museum	Art Museum		Zagreb	Zagreb						
Gliptoteka	art_museum	Art Museum		Zagreb	Zagreb						
Klovićevi dvori	art_museum	Art Museum		Zagreb	Zagreb						
Mimara Museum	art_museum	Art Museum		Zagreb	Zagreb						
Modern Gallery, Zagreb	art_museum	Art Museum		Zagreb	Zagreb						
Museum of Contemporary Art, Zagreb	art_museum	Art Museum		Zagreb	Zagreb						
People and Art House Lauba	art_museum	Art Museum		Zagreb	Zagreb						
Strossmayer Gallery of Old Masters	art_museum	Art Museum		Zagreb	Zagreb						
Nikola Tesla Memorial Center	science_museum	Science Museum		Smiljan	Smiljan						
Split Science Museum and Zoo	science_museum	Science Museum		Split	Split						
Technical Museum	science_museum	Science Museum		Zagreb	Zagreb						
