name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Interdisciplinary Regional Museum of Messina	art_museum	Art Museum		Messina	Messina			17000		1806	1806/1908
Arsenal (Biennale)	art_museum	Art Museum		Venice	Venice			17000	180000	1895	1895
Museo di Capodimonte	art_museum	Art Museum		Naples	Naples			15000		1757	1757
National Archaeological Museum, Naples	art_museum	Art Museum		Naples	Naples			12650	136200	1777	1777
Capitoline Museums	art_museum	Art Museum		Rome	Rome			11000	120000	1471	1471
Fondazione Prada	art_museum	Art Museum		Milan	Milan			11000	120000	1993	1993
HangarBicocca	art_museum	Art Museum		Milan	Milan			10900	117000	2012	2012
Antonino Salinas Regional Archeological Museum	art_museum	Art Museum		Palermo	Palermo			10000		1866	1866
MAXXI	art_museum	Art Museum		Rome	Rome			10000	110000	2010	2010
Museo Egizio	art_museum	Art Museum		Turin	Turin			10000	110000	1824	1824
Gallerie di Piazza Scala	art_museum	Art Museum		Milan	Milan			8300	89000	2011	2011
Museum of the Cathedral's Treasure	art_museum	Art Museum		Aosta	Aosta						
Regional Archaeological Museum of Aosta Valley	art_museum	Art Museum		Aosta	Aosta						
Museo statale d'arte medievale e moderna	art_museum	Art Museum		Arezzo	Arezzo						
Archaeological Museum of the Campi Flegrei	art_museum	Art Museum		Bacoli	Bacoli						
Pinacoteca Provinciale di Bari	art_museum	Art Museum		Bari	Bari						
Accademia Carrara	art_museum	Art Museum		Bergamo	Bergamo						
Bologna Museum of Modern Art	art_museum	Art Museum		Bologna	Bologna						
Museo Civico Medievale	art_museum	Art Museum		Bologna	Bologna						
Pinacoteca Nazionale di Bologna	art_museum	Art Museum		Bologna	Bologna						
South Tyrol Museum of Archaeology	art_museum	Art Museum		Bolzano	Bolzano						
Pinacoteca Tosio Martinengo	art_museum	Art Museum		Brescia	Brescia						
Diocesan Museum	art_museum	Art Museum		Brixen	Brixen						
Malatestiana Library	art_museum	Art Museum		Cesena	Cesena						
Pinacoteca Comunale di Cesena	art_museum	Art Museum		Cesena	Cesena						
Cathedral Museum	art_museum	Art Museum		Ferrara	Ferrara						
National Archaeological Museum of Ferrara	art_museum	Art Museum		Ferrara	Ferrara						
Palazzo Schifanoia	art_museum	Art Museum		Ferrara	Ferrara						
Pinacoteca Nazionale	art_museum	Art Museum		Ferrara	Ferrara						
Archaeological Museum of Florence	art_museum	Art Museum		Florence	Florence						
Bargello	art_museum	Art Museum		Florence	Florence						
Fine Arts Academy	art_museum	Art Museum		Florence	Florence						
Museo Nazionale di San Marco	art_museum	Art Museum		Florence	Florence						
Palazzo Pitti	art_museum	Art Museum		Florence	Florence						
