name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Rantokaku Art Museum	art_museum	Art Museum	The buildings that make up the Rantokaku Museum are jus...								
Oita Art Museum	art_museum	Art Museum	Treasured works by regional artists	Oita-shi, Oita-ken							
Kushiro Art Museum Hokkaido	art_museum	Art Museum		Kushiro-shi, Hokkaido							
Mori Art Museum	art_museum	Art Museum	One of Roppongi's most iconic museums for contemporary ...								
Rokuzan Art Museum	art_museum	Art Museum		Azumino-shi, Nagano-…							
Tokugawa Art Museum	art_museum	Art Museum	Top museum of samurai art and culture								
Shimane Art Museum	art_museum	Art Museum		Matsue-shi, Shimane-k…							
Sagawa Art Museum	art_museum	Modern Architecture	The floating museum	Moriyama-shi, Shiga-ken							
Fukuoka Asian Art Museum	art_museum	Art Museum	A Museum Featuring Modern and Contemporary Asian Art								
Nagasaki Prefectural Art Museum	art_museum	Art Museum	An art lovers dream								
Oita Prefectural Art Museum	art_museum	Modern Architecture	An open treasure trove of locally and globally signific...								
Tokyo Photographic Art Museum	art_museum	Art Museum	A stunning collection of still and moving images								
Hiroshima Prefectural Art Museum	art_museum	Art Museum	There are a number of art								
Itchiku Kubota Art Museum	art_museum	Art Museum	Magnificent collection of one-of-a-kind kimono designed...								
Nagoya City Art Museum	art_museum	Art Museum		Nagoya-shi, Aichi-ken							
Mie Prefectural Art Museum	art_museum	Art Museum	Take a pleasant outing for art away from Japan's big ci...								
Tokyo Metropolitan Teien Art Museum	art_museum	Art Museum	Decor to explore	Tokyo-to							
The Omiya Bonsai Art Museum, Saitama	art_museum	Bonsai	The Best Bonsai in the ...								
The Museum Of Modern Art, Saitama	art_museum	Art Museum	A modern art museum for...								
21st Century Museum Of Contemporary...	art_museum	Art Museum	A contemporary art								
The National Art Center, Tokyo	art_museum	Modern Architecture	Japan's only national art museum that focuses on collec...								
Ichihara Lakeside Museum	art_museum	Art Museum	Ichihara Lakeside Museum is modern art museum located n...								
Museum Of Modern Art, Wakayama	art_museum	Art Museum	Cleanse your Cultural Palate								
Shoji Ueda Museum	art_museum	Art Museum	World-class photography in local settings	Saihaku-gun, Tottori-k…							
Adachi Museum Of Art	art_museum	Art Museum	Famous for its gardens as well as its art								
Hirayama Ikuo Museum Of Art	art_museum	Art Museum	See the works of Hiroshima's most famous and controvers...								
Idemitsu Museum Of Arts	art_museum	Art Museum	The Kitakyushu Branch of the famous Tokyo Idemistu Muse...								
Saga Prefectural Museum	art_museum	Art Museum	A collection of Saga's history, culture, and art								
Yatsugatake Museum Of Art	art_museum	Art Museum		Suwa-gun, Nagano-ken							
Kumamoto Prefectural Museum Of Art	art_museum	Art Museum		Kumamoto-shi, Kuma…							
Fukushima Prefectural Museum Of Art	art_museum	Art Museum	A Mixture of Japanese,								
