name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
National Museum of Anthropology	art_museum	Art Museum		Mexico City	Mexico City			33000	360000	1964	1964
Museo de Aguascalientes	art_museum	Art Museum		Aguascalientes	Aguascalientes						
Cancún Underwater Museum	art_museum	Art Museum		Cancún	Cancún						
Academy of San Carlos	art_museum	Art Museum		Mexico City	Mexico City						
Caricature Museum, Mexico City	art_museum	Art Museum		Mexico City	Mexico City						
Centro Cultural Border (Mexico City)	art_museum	Art Museum		Mexico City	Mexico City						
Centro Cultural de España	art_museum	Art Museum		Mexico City	Mexico City						
Centro Nacional de las Artes	art_museum	Art Museum		Mexico City	Mexico City						
Colección Júmex	art_museum	Art Museum		Mexico City	Mexico City						
Franz Mayer Museum	art_museum	Art Museum		Mexico City	Mexico City						
Frida Kahlo Museum	art_museum	Art Museum		Mexico City	Mexico City						
Galería OMR	art_museum	Art Museum		Mexico City	Mexico City						
Galería de Arte Mexicano	art_museum	Art Museum		Mexico City	Mexico City						
José Luis Cuevas Museum	art_museum	Art Museum		Mexico City	Mexico City						
Museo Carillo Gil	art_museum	Art Museum		Mexico City	Mexico City						
Museo Dolores Olmedo	art_museum	Art Museum		Mexico City	Mexico City						
Museo Mural Diego Rivera	art_museum	Art Museum		Mexico City	Mexico City						
Museo Nacional de Arte	art_museum	Art Museum		Mexico City	Mexico City						
Museo Rufino Tamayo	art_museum	Art Museum		Mexico City	Mexico City						
Museo Soumaya	art_museum	Art Museum		Mexico City	Mexico City						
Museo Universitario Arte Contemporáneo	art_museum	Art Museum		Mexico City	Mexico City						
Museo Universitario del Chopo	art_museum	Art Museum		Mexico City	Mexico City						
Museo de Arte Moderno	art_museum	Art Museum		Mexico City	Mexico City						
Museo de la Estampa	art_museum	Art Museum		Mexico City	Mexico City						
Museo de la Secretaría de Hacienda y Crédito Público	art_museum	Art Museum		Mexico City	Mexico City						
Museo del Estanquillo	art_museum	Art Museum		Mexico City	Mexico City						
National Museum of Cultures	art_museum	Art Museum		Mexico City	Mexico City						
Palace of Iturbide	art_museum	Art Museum		Mexico City	Mexico City						
Palacio de Bellas Artes	art_museum	Art Museum		Mexico City	Mexico City						
Popular Art Museum, Mexico City	art_museum	Art Museum		Mexico City	Mexico City						
San Ildefonso College	art_museum	Art Museum		Mexico City	Mexico City						
Museo de Arte Contemporáneo de Monterrey	art_museum	Art Museum		Monterrey	Monterrey						
Museo del Palacio de Gobierno de Nuevo Leon	art_museum	Art Museum		Monterrey	Monterrey						
Museo Descubre	science_museum	Science Museum		Aguascalientes	Aguascalientes						
Palace of the Inquisition (Museum of Mexican Medicine)	science_museum	Science Museum		Mexico City	Mexico City						
San Pedro y San Pablo College (Museum of Light)	science_museum	Science Museum		Mexico City	Mexico City						
Universum (UNAM)	science_museum	Science Museum		Mexico City	Mexico City						
Alfa Planetarium	science_museum	Science Museum		Monterrey, Nuevo León	Monterrey, Nuevo León						
Museo Modelo de Ciencias e Industria	science_museum	Science Museum		Toluca, State of Mexico	Toluca, State of Mexico						
Museo Interactivo de Xalapa	science_museum	Science Museum		Xalapa, Veracruz	Xalapa, Veracruz						
