name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Auckland Art Gallery	art_museum	Art Museum		Auckland	Auckland						
Christchurch Art Gallery	art_museum	Art Museum		Christchurch	Christchurch						
Dunedin Public Art Gallery	art_museum	Art Museum		Dunedin	Dunedin						
Permanent display of New Zealand's most famed forger C.F. Goldie (also known as Karl Sim)	art_museum	Art Museum		Mangaweka	Mangaweka						
Museum of New Zealand Te Papa Tongarewa	art_museum	Art Museum		Wellington	Wellington						
National Art Gallery of New Zealand (now part of Te Papa)	art_museum	Art Museum		Wellington	Wellington						
Otago Museum	science_museum	Science Museum		Dunedin	Dunedin						
Exscite	science_museum	Science Museum		Hamilton, New Zealand	Hamilton, New Zealand						
Te Manawa	science_museum	Science Museum		Palmerston North	Palmerston North						
Museum of Transport and Technology	science_museum	Science Museum		Western Springs, Auckland	Western Springs, Auckland						
