name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Bielsko-Biała Museum and Castle	art_museum	Art Museum		Bielsko-Biała	Bielsko-Biała						
Leon Wyczółkowski Regional Museum	art_museum	Art Museum		Bydgoszcz	Bydgoszcz						
Muzeum Narodowe	art_museum	Art Museum		Gdańsk	Gdańsk						
Silesian Museum	art_museum	Art Museum		Katowice	Katowice						
National Museum of Kielce	art_museum	Art Museum		Kielce	Kielce						
Museum of the Zamoyski Family	art_museum	Art Museum		Kozłówka	Kozłówka						
Czartoryski Museum	art_museum	Art Museum		Kraków	Kraków						
EUROPEUM – European Culture Centre	art_museum	Art Museum		Kraków	Kraków						
MOCAK Museum of Contemporary Art	art_museum	Art Museum		Kraków	Kraków						
National Museum, Kraków	art_museum	Art Museum		Kraków	Kraków						
Sukiennice Museum	art_museum	Art Museum		Kraków	Kraków						
Wawel Royal Castle National Art Collection	art_museum	Art Museum		Kraków	Kraków						
National Museum, Lublin	art_museum	Art Museum		Lublin	Lublin						
National Museum, Poznań	art_museum	Art Museum		Poznań	Poznań						
Castle Museum of Pszczyna	art_museum	Art Museum		Pszczyna	Pszczyna						
Diocesan Museum in Siedlce	art_museum	Art Museum		Siedlce	Siedlce						
National Museum	art_museum	Art Museum		Szczecin	Szczecin						
District Museum in Toruń	art_museum	Art Museum		Toruń	Toruń						
Academy of Fine Arts Museum inside Czapski Palace	art_museum	Art Museum		Warsaw	Warsaw						
King John III Palace Museum	art_museum	Art Museum		Warsaw	Warsaw						
Lanckoroński Collection in the Royal Castle	art_museum	Art Museum		Warsaw	Warsaw						
Lazienki Palace Museum	art_museum	Art Museum		Warsaw	Warsaw						
National Museum	art_museum	Art Museum		Warsaw	Warsaw						
Porczyński Gallery	art_museum	Art Museum		Warsaw	Warsaw						
Ujazdów Centre for Contemporary Art	art_museum	Art Museum		Warsaw	Warsaw						
Zachęta National Gallery of Art	art_museum	Art Museum		Warsaw	Warsaw						
National Museum, Wrocław	art_museum	Art Museum		Wrocław	Wrocław						
Museum of Art in Łódź	art_museum	Art Museum		Łódź	Łódź						
Copernicus Science Centre	science_museum	Science Museum		Warsaw	Warsaw						
Hydropolis Centre for Ecological Education	science_museum	Science Museum		Wrocław	Wrocław						
EC1 Science and Technology Center in Łódź	science_museum	Science Museum		Łódź	Łódź						
