name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Frederic and Cecilia Cuțescu-Storck Art Museum	art_museum	Art Museum		Bucharest	Bucharest						
George Severeanu Museum	art_museum	Art Museum		Bucharest	Bucharest						
K.H. Zambaccian Museum	art_museum	Art Museum		Bucharest	Bucharest						
National Museum of Art of Romania	art_museum	Art Museum		Bucharest	Bucharest						
National Museum of Contemporary Art	art_museum	Art Museum		Bucharest	Bucharest						
The Art Collections Museum	art_museum	Art Museum		Bucharest	Bucharest						
Theodor Pallady Museum	art_museum	Art Museum		Bucharest	Bucharest						
Art Museum	art_museum	Art Museum		Craiova	Craiova						
Art Museum	art_museum	Art Museum		Iaşi	Iaşi						
Ploiești Art Museum	art_museum	Art Museum		Ploiești	Ploiești						
Brukenthal National Museum	art_museum	Art Museum		Sibiu	Sibiu						
Timisoara Art Museum	art_museum	Art Museum		Timişoara	Timişoara						
Tulcea Art Museum	art_museum	Art Museum		Tulcea	Tulcea						
"Prof.eng. Dimitrie Leonida" National Technical Museum	science_museum	Science Museum		București	București						
Ştefan Procopiu Science and Technology Museum	science_museum	Science Museum		Iaşi	Iaşi						
