name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Belgrade City Museum	art_museum	Art Museum		Belgrade	Belgrade						
Museum of Contemporary Art	art_museum	Art Museum		Belgrade	Belgrade						
National Museum of Serbia	art_museum	Art Museum		Belgrade	Belgrade						
White Palace	art_museum	Art Museum		Belgrade	Belgrade						
Galery of Matica Srpska	art_museum	Art Museum		Novi Sad	Novi Sad						
Museum of Contemporary Art of Vojvodina	art_museum	Art Museum		Novi Sad	Novi Sad						
Museum of Vojvodina	art_museum	Art Museum		Novi Sad	Novi Sad						
Pavle Beljanski Memorial Collection	art_museum	Art Museum		Novi Sad	Novi Sad						
The Gallery of Fine Arts – Gift Collection of Rajko Mamuzić	art_museum	Art Museum		Novi Sad	Novi Sad						
Nikola Tesla Museum	science_museum	Science Museum		Belgrade	Belgrade						
