name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
State Hermitage Museum	art_museum	Art Museum		St. Petersburg	St. Petersburg			66842	719480	1764	1764
Tretyakov Gallery (Krymsky Val)	art_museum	Art Museum		Moscow	Moscow			12000	130000	1985	1985
Kremlin Armoury	art_museum	Art Museum		Moscow	Moscow						
Moscow House of Photography	art_museum	Art Museum		Moscow	Moscow						
Moscow Museum of Modern Art	art_museum	Art Museum		Moscow	Moscow						
Pushkin Museum	art_museum	Art Museum		Moscow	Moscow						
State Historical Museum	art_museum	Art Museum		Moscow	Moscow						
State Tretyakov Gallery	art_museum	Art Museum		Moscow	Moscow						
Radischev Art Museum	art_museum	Art Museum		Saratov	Saratov						
Hermitage	art_museum	Art Museum		St. Petersburg	St. Petersburg						
Russian Museum	art_museum	Art Museum		St. Petersburg	St. Petersburg						
Taganrog Museum of Art	art_museum	Art Museum		Taganrog	Taganrog						
Memorial Museum of Kazan School of Chemistry	science_museum	Science Museum		Kazan	Kazan						
Memorial Museum of Cosmonautics	science_museum	Science Museum		Moscow	Moscow						
Polytechnical Museum	science_museum	Science Museum		Moscow	Moscow						
Kunstkamera	science_museum	Science Museum		Saint Petersburg	Saint Petersburg						
