name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Bangkok Art and Culture Centre	art_museum	Art Museum		Bangkok	Bangkok						
Bangkok National Museum	art_museum	Art Museum		Bangkok	Bangkok						
Bangkok University Gallery	art_museum	Art Museum		Bangkok	Bangkok						
H Gallery	art_museum	Art Museum		Bangkok	Bangkok						
Jamjuree Art Gallery	art_museum	Art Museum		Bangkok	Bangkok						
Museum of Buddhist Art	art_museum	Art Museum		Bangkok	Bangkok						
National Gallery of Thailand	art_museum	Art Museum		Bangkok	Bangkok						
Silpakorn University Art Gallery	art_museum	Art Museum		Bangkok	Bangkok						
Span's Cultural Gallery	art_museum	Art Museum		Bangkok	Bangkok						
Suan Dusit Art Gallery	art_museum	Art Museum		Bangkok	Bangkok						
Thavibu Gallery	art_museum	Art Museum		Bangkok	Bangkok						
National Science Museum	science_museum	Science Museum		Pathum Thani	Pathum Thani						
