name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Cer Modern	art_museum	Art Museum		Ankara	Ankara						
Erimtan Archaeology and Arts Museum	art_museum	Art Museum		Ankara	Ankara						
Gazi University Art and Sculpture Museum	art_museum	Art Museum		Ankara	Ankara						
Hacettepe Museum	art_museum	Art Museum		Ankara	Ankara						
Hamiye Çolakoğlu Ceramic Museum	art_museum	Art Museum		Ankara	Ankara						
Mustafa Ayaz Museum	art_museum	Art Museum		Ankara	Ankara						
Müze Evliyagil	art_museum	Art Museum		Ankara	Ankara						
State Art and Sculpture Museum	art_museum	Art Museum		Ankara	Ankara						
Şefik Bursalı Museum House	art_museum	Art Museum		Ankara	Ankara						
Güray Müze	art_museum	Art Museum		Avanos	Avanos						
Baksı Museum	art_museum	Art Museum		Bayburt	Bayburt						
Bursa Museum of Turkish and Islamic Art	art_museum	Art Museum		Bursa	Bursa						
Edirne Museum of Turkish and Islamic Art	art_museum	Art Museum		Edirne	Edirne						
Trakya University Contemporary Art and Sculpture Museum	art_museum	Art Museum		Edirne	Edirne						
Yakutiye Medrese	art_museum	Art Museum		Erzurum	Erzurum						
Anadolu University Contemporary Art Museum	art_museum	Art Museum		Eskişehir	Eskişehir						
Odunpazarı Modern Müze	art_museum	Art Museum		Eskişehir	Eskişehir						
Ara Güler Museum	art_museum	Art Museum		Istanbul	Istanbul						
Arter (art center)	art_museum	Art Museum		Istanbul	Istanbul						
Artistanbul Feshane	art_museum	Art Museum		Istanbul	Istanbul						
Casa Botter	art_museum	Art Museum		Istanbul	Istanbul						
Cendere Art Museum	art_museum	Art Museum		Istanbul	Istanbul						
Dogancay Museum	art_museum	Art Museum		Istanbul	Istanbul						
Istanbul Carpet Museum	art_museum	Art Museum		Istanbul	Istanbul						
Istanbul Contemporary Art Museum	art_museum	Art Museum		Istanbul	Istanbul						
Istanbul Museum of Graphic Arts	art_museum	Art Museum		Istanbul	Istanbul						
Istanbul Museum of Modern Art	art_museum	Art Museum		Istanbul	Istanbul						
Museum of Turkish Calligraphy Art	art_museum	Art Museum		Istanbul	Istanbul						
National Palaces Painting Museum	art_museum	Art Museum		Istanbul	Istanbul						
Pera Museum	art_museum	Art Museum		Istanbul	Istanbul						
Perili Köşk	art_museum	Art Museum		Istanbul	Istanbul						
Proje4L / Elgiz Museum of Contemporary Art	art_museum	Art Museum		Istanbul	Istanbul						
Rezan Has Museum	art_museum	Art Museum		Istanbul	Istanbul						
SALT (institution)	art_museum	Art Museum		Istanbul	Istanbul						
Sadberk Hanım Museum	art_museum	Art Museum		Istanbul	Istanbul						
Sakıp Sabancı Museum	art_museum	Art Museum		Istanbul	Istanbul						
SantralIstanbul	art_museum	Art Museum		Istanbul	Istanbul						
Tiled Kiosk	art_museum	Art Museum		Istanbul	Istanbul						
Topkapı Palace	art_museum	Art Museum		Istanbul	Istanbul						
Turkish and Islamic Arts Museum	art_museum	Art Museum		Istanbul	Istanbul						
Türkiye İş Bankası Art and Sculpture Museum	art_museum	Art Museum		Istanbul	Istanbul						
İstanbul State Art and Sculpture Museum	art_museum	Art Museum		Istanbul	Istanbul						
Ince Minaret Medrese	art_museum	Art Museum		Konya	Konya						
Karatay Medrese	art_museum	Art Museum		Konya	Konya						
Kütahya Ceramic Museum	art_museum	Art Museum		Kütahya	Kütahya						
Kütahya Porcelain Museum	art_museum	Art Museum		Kütahya	Kütahya						
Mersin State Art and Sculpture Museum	art_museum	Art Museum		Mersin	Mersin						
Arkas Art Center	art_museum	Art Museum		İzmir	İzmir						
Selçuk Yaşar Museum of Arts	art_museum	Art Museum		İzmir	İzmir						
İzmir Art and Sculpture Museum	art_museum	Art Museum		İzmir	İzmir						
İznik Museum	art_museum	Art Museum		İznik	İznik						
Feza Gürsey Science Centre	science_museum	Science Museum		Ankara 1993	Ankara 1993						
ITU Science Center	science_museum	Science Museum		Istanbul	Istanbul						
Istanbul Museum of the History of Science and Technology in Islam	science_museum	Science Museum		Istanbul	Istanbul						
Rahmi M. Koç Museum	science_museum	Science Museum		Istanbul	Istanbul						
Silahtarağa Power Station Energy Museum	science_museum	Science Museum		Istanbul	Istanbul						
