name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Metropolitan Museum of Art	art_museum	Art Museum		New York City	New York City			58820	633100	1870	1870
Houston Museum of Fine Arts	art_museum	Art Museum		Houston	Houston			28000	300000	1900	1900
Art Institute of Chicago	art_museum	Art Museum		Chicago	Chicago			26000	280000	1879	1879
National Gallery of Art	art_museum	Art Museum		Washington, D.C.	Washington, D.C.			25200	271000	1937	1937
MASS MoCA	art_museum	Art Museum		North Adams	North Adams			23225	249990	1999	1999
Museum of Fine Arts	art_museum	Art Museum		Boston	Boston			20500	221000	1870	1870
Minneapolis Institute of Art	art_museum	Art Museum		Minneapolis	Minneapolis			17500	188000	1883	1883
Birmingham Museum of Art	art_museum	Art Museum		Birmingham	Birmingham			17000	180000	1951	1951
San Francisco Museum of Modern Art	art_museum	Art Museum		San Francisco	San Francisco			15800	170000	1935	1935
Museum of Modern Art	art_museum	Art Museum		New York City	New York City			15400	166000	1929	1929
Denver Art Museum	art_museum	Art Museum		Denver	Denver			15000	160000	1918	1918
Dia:Beacon	art_museum	Art Museum		Beacon, New York	Beacon, New York			14900	160000	2003	2003
Dallas Museum of Art	art_museum	Art Museum		Dallas	Dallas			14800	159000	1903	1903
Detroit Institute of Arts	art_museum	Art Museum		Detroit	Detroit			14000	150000	1885	1885
Indianapolis Museum of Art	art_museum	Art Museum		Indianapolis	Indianapolis			13300	143000	1883	1883
Milwaukee Art Museum	art_museum	Art Museum		Milwaukee	Milwaukee			13196.4	142045	1882	1882
Virginia Museum of Fine Arts	art_museum	Art Museum		Richmond	Richmond			12500	135000	1934	1934
Cleveland Museum of Art	art_museum	Art Museum		Cleveland	Cleveland			12400	133000	1913	1913
Los Angeles County Museum of Art	art_museum	Art Museum		Los Angeles	Los Angeles			11000	120000	1910	1910
Portland Art Museum	art_museum	Art Museum		Portland, Oregon	Portland, Oregon			10400	112000	1892	1892
Carnegie Museum of Art	art_museum	Art Museum		Pittsburgh	Pittsburgh			10000	110000	1896	1896
Saint Louis Art Museum	art_museum	Art Museum		St. Louis	St. Louis			10000	110000	1881	1881
De Young Museum	art_museum	Art Museum		San Francisco	San Francisco			8919	96000	1895	1895
Smithsonian American Art Museum	art_museum	Art Museum		Washington, D.C.	Washington, D.C.			8800	95000	1829	1829
High Museum of Art	art_museum	Art Museum		Atlanta	Atlanta			8714	93800	1905	1905
The Grace Museum	art_museum	Art Museum		Abilene, Texas	Abilene						
Akron Art Museum	art_museum	Art Museum		Akron, Ohio	Akron						
Albany Institute of History & Art	art_museum	Art Museum		Albany, New York	Albany						
Old Jail Art Center	art_museum	Art Museum		Albany, Texas	Albany						
Allentown Art Museum	art_museum	Art Museum		Allentown, Pennsylvania	Allentown						
Amarillo Museum of Art	art_museum	Art Museum		Amarillo, Texas	Amarillo						
Eric Carle Museum of Picture Book Art	art_museum	Art Museum		Amherst, Massachusetts	Amherst						
Mead Art Museum	art_museum	Art Museum		Amherst, Massachusetts	Amherst						
University Museum of Contemporary Art	art_museum	Art Museum		Amherst, Massachusetts	Amherst						
Anchorage Museum of Art and History	art_museum	Art Museum		Anchorage, Alaska	Anchorage						
Addison Gallery of American Art	art_museum	Art Museum		Andover, Massachusetts	Andover						
University of Michigan Museum of Art	art_museum	Art Museum		Ann Arbor, Michigan	Ann Arbor						
Trout Museum of Art	art_museum	Art Museum		Appleton, Wisconsin	Appleton						
Arlington Museum of Art	art_museum	Art Museum		Arlington, Texas	Arlington						
Asheville Art Museum	art_museum	Art Museum		Asheville, North Carolina	Asheville						
Folk Art Center	art_museum	Art Museum		Asheville, North Carolina	Asheville						
Aspen Art Museum	art_museum	Art Museum		Aspen, Colorado	Aspen						
Georgia Museum of Art	art_museum	Art Museum		Athens, Georgia	Athens						
Michael C. Carlos Museum	art_museum	Art Museum		Atlanta, Georgia	Atlanta						
Austin Museum of Art	art_museum	Art Museum		Austin, Texas	Austin						
Blanton Museum of Art	art_museum	Art Museum		Austin, Texas	Austin						
Elisabet Ney Museum	art_museum	Art Museum		Austin, Texas	Austin						
Harry Ransom Center	art_museum	Art Museum		Austin, Texas	Austin						
Mexic-Arte Museum	art_museum	Art Museum		Austin, Texas	Austin						
American Visionary Art Museum	art_museum	Art Museum		Baltimore, Maryland	Baltimore						
Baltimore Museum of Art	art_museum	Art Museum		Baltimore, Maryland	Baltimore						
Walters Art Museum	art_museum	Art Museum		Baltimore, Maryland	Baltimore						
Shaw Center for the Arts	art_museum	Art Museum		Baton Rouge, Louisiana	Baton Rouge						
Art Museum of Southeast Texas	art_museum	Art Museum		Beaumont, Texas	Beaumont						
Dishman Art Museum	art_museum	Art Museum		Beaumont, Texas	Beaumont						
Boyer Gallery	art_museum	Art Museum		Belleville, Kansas	Belleville						
Crystal Bridges Museum of American Art	art_museum	Art Museum		Bentonville, Arkansas	Bentonville						
Yellowstone Art Museum	art_museum	Art Museum		Billings, Montana	Billings						
Ohr-O'Keefe Museum of Art	art_museum	Art Museum		Biloxi, Mississippi	Biloxi						
Indiana University	art_museum	Art Museum		Bloomington, Indiana	Bloomington						
Sidney and Lois Eskenazi Museum of Art	art_museum	Art Museum		Bloomington, Indiana	Bloomington						
Boca Raton Museum of Art	art_museum	Art Museum		Boca Raton, Florida	Boca Raton						
Boise Art Museum	art_museum	Art Museum		Boise, Idaho	Boise						
Boston Museum of Fine Arts	art_museum	Art Museum		Boston, Massachusetts	Boston						
Institute of Contemporary Art, Boston	art_museum	Art Museum		Boston, Massachusetts	Boston						
Isabella Stewart Gardner Museum	art_museum	Art Museum		Boston, Massachusetts	Boston						
McMullen Museum of Art	art_museum	Art Museum		Boston, Massachusetts	Boston						
Museum of Bad Art	art_museum	Art Museum		Boston, Massachusetts	Boston						
Village of the Arts	art_museum	Art Museum		Bradenton, Florida	Bradenton						
Brigham City Museum of Art & History	art_museum	Art Museum		Brigham City, Utah	Brigham City						
Fuller Craft Museum	art_museum	Art Museum		Brockton, Massachusetts	Brockton						
Bowdoin College Museum of Art	art_museum	Art Museum		Brunswick, Maine	Brunswick						
Albright-Knox Art Gallery	art_museum	Art Museum		Buffalo, New York	Buffalo						
Robert Hull Fleming Museum	art_museum	Art Museum		Burlington, Vermont	Burlington						
Harvard Art Museums	art_museum	Art Museum		Cambridge, Massachusetts	Cambridge						
List Visual Arts Center	art_museum	Art Museum		Cambridge, Massachusetts	Cambridge						
Peabody Museum of Archaeology and Ethnology	art_museum	Art Museum		Cambridge, Massachusetts	Cambridge						
Arkell Museum	art_museum	Art Museum		Canajoharie, New York, New York	Canajoharie, New York						
Brandywine River Museum	art_museum	Art Museum		Chadds Ford, Pennsylvania	Chadds Ford						
Krannert Art Museum	art_museum	Art Museum		Champaign, Illinois	Champaign						
Ackland Art Museum	art_museum	Art Museum		Chapel Hill, North Carolina	Chapel Hill						
Gibbes Museum of Art	art_museum	Art Museum		Charleston, South Carolina	Charleston						
Bechtler Museum of Modern Art	art_museum	Art Museum		Charlotte, North Carolina	Charlotte						
Mint Museum of Art	art_museum	Art Museum		Charlotte, North Carolina	Charlotte						
Fralin Museum of Art	art_museum	Art Museum		Charlottesville, Virginia	Charlottesville						
Hunter Museum of American Art	art_museum	Art Museum		Chattanooga, Tennessee	Chattanooga						
Museum of Contemporary Art	art_museum	Art Museum		Chicago, Illinois	Chicago						
National Museum of Mexican Art	art_museum	Art Museum		Chicago, Illinois	Chicago						
National Museum of Puerto Rican Arts and Culture	art_museum	Art Museum		Chicago, Illinois	Chicago						
National Veterans Art Museum	art_museum	Art Museum		Chicago, Illinois	Chicago						
Oriental Institute	art_museum	Art Museum		Chicago, Illinois	Chicago						
Smart Museum of Art	art_museum	Art Museum		Chicago, Illinois	Chicago						
Ukrainian Institute of Modern Art	art_museum	Art Museum		Chicago, Illinois	Chicago						
Cincinnati Art Museum	art_museum	Art Museum		Cincinnati, Ohio	Cincinnati						
Contemporary Arts Center	art_museum	Art Museum		Cincinnati, Ohio	Cincinnati						
Taft Museum of Art	art_museum	Art Museum		Cincinnati, Ohio	Cincinnati						
The Cleveland Museum of Art	art_museum	Art Museum		Cleveland, Ohio	Cleveland						
Museum of Russian Icons	art_museum	Art Museum		Clinton, Massachusetts	Clinton						
Columbia Museum of Art	art_museum	Art Museum		Columbia, South Carolina	Columbia						
Columbus Museum of Art	art_museum	Art Museum		Columbus, Ohio	Columbus						
Wexner Center	art_museum	Art Museum		Columbus, Ohio	Columbus						
Fenimore Art Museum	art_museum	Art Museum		Cooperstown, New York	Cooperstown						
Corning Museum of Glass	art_museum	Art Museum		Corning, New York	Corning						
Rockwell Museum	art_museum	Art Museum		Corning, New York	Corning						
The Pearce Collections at Navarro College	art_museum	Art Museum		Corsicana, Texas	Corsicana						
Crow Collection of Asian Art	art_museum	Art Museum		Dallas, Texas	Dallas						
Dallas Contemporary	art_museum	Art Museum		Dallas, Texas	Dallas						
Meadows Museum	art_museum	Art Museum		Dallas, Texas	Dallas						
Museum of Biblical Art	art_museum	Art Museum		Dallas, Texas	Dallas						
