name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
South African National Gallery	art_museum	Art Museum		Cape Town	Cape Town						
Johannesburg Art Gallery	art_museum	Art Museum		Johannesburg	Johannesburg						
MuseuMAfricA	art_museum	Art Museum		Johannesburg	Johannesburg						
No Show Museum	art_museum	Art Museum		Johannesburg	Johannesburg						
William Humphreys Art Gallery	art_museum	Art Museum		Kimberley	Kimberley						
The Owl House	art_museum	Art Museum		Nieu-Bethesda	Nieu-Bethesda						
Nelson Mandela Metropolitan Art Museum	art_museum	Art Museum		Port Elizabeth	Port Elizabeth						
Edoardo Villa Museum	art_museum	Art Museum		Pretoria	Pretoria						
Pretoria Art Museum	art_museum	Art Museum		Pretoria	Pretoria						
Van Tilburg Collection	art_museum	Art Museum		Pretoria	Pretoria						
Van Wouw Museum	art_museum	Art Museum		Pretoria	Pretoria						
Cape Town Science Centre	science_museum	Science Museum		Cape Town	Cape Town						
Unizulu Science Centre	science_museum	Science Museum		Richards Bay	Richards Bay						
